asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/27 09:32:56.257,Client,final_uav_1,None,None,67891,6580.55,21.3,110516.26,75.9,0.0,75.9,1.59,None
2023/06/27 09:32:56.280,Client,final_uav_1,nan,nan,67892,6554.41,10.69,13.48,70.42,0.0,70.42,1.0,nan
2023/06/27 09:32:56.321,Client,final_uav_1,nan,nan,67893,6531.83,7.38,34.69,75.09,0.0,75.09,1.0,nan
2023/06/27 09:32:56.364,Client,final_uav_1,nan,nan,67894,6300.14,11.24,35.88,76.68,0.0,76.68,1.0,nan
2023/06/27 09:32:56.391,Client,final_uav_1,nan,nan,67895,6302.61,5.01,22.77,69.02,0.0,69.02,0.0,nan
2023/06/27 09:32:56.430,Client,final_uav_1,nan,nan,67896,6277.19,5.69,32.78,52.41,0.0,52.41,0.0,nan
2023/06/27 09:32:56.470,Client,final_uav_1,nan,nan,67897,6101.55,6.0,35.31,45.33,0.0,45.33,0.0,nan
2023/06/27 09:32:56.507,Client,final_uav_1,nan,nan,67898,6119.3,3.55,33.54,45.53,0.0,45.53,0.0,nan
2023/06/27 09:32:56.545,Client,final_uav_1,nan,nan,67899,5979.91,3.92,33.38,44.9,0.0,44.9,1.0,nan
2023/06/27 09:32:56.584,Client,final_uav_1,nan,nan,67900,5930.66,2.82,36.1,44.5,0.0,44.5,1.0,nan
2023/06/27 09:32:56.628,Client,final_uav_1,nan,nan,67901,5915.49,6.93,40.13,44.33,0.0,44.33,1.0,nan
2023/06/27 09:32:56.664,Client,final_uav_1,nan,nan,67902,5935.19,4.2,32.74,44.48,0.0,44.48,0.5,nan
2023/06/27 09:32:56.705,Client,final_uav_1,nan,nan,67903,5865.82,5.05,36.11,43.91,0.0,43.91,0.53,nan
2023/06/27 09:32:56.744,Client,final_uav_1,nan,nan,67904,5843.51,5.76,34.01,43.91,0.0,43.91,1.0,nan
