asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 13:24:19.721,Client,final_uav_1,None,None,654,21202.75,9.74,307596.86,121.62,0.0,121.62,1.14,None
2023/05/30 13:24:21.053,Client,final_uav_1,nan,nan,655,22509.22,11.27,1325.96,117.96,0.0,117.96,1.0,nan
2023/05/30 13:24:22.386,Client,final_uav_1,nan,nan,656,9294.24,11.55,1329.7,115.55,0.0,115.55,1.0,nan
2023/05/30 13:24:23.721,Client,final_uav_1,nan,nan,657,10598.05,9.33,1332.25,115.55,0.0,115.55,0.52,nan
2023/05/30 13:24:25.056,Client,final_uav_1,nan,nan,658,11917.08,10.63,1330.11,115.61,0.0,115.61,1.0,nan
2023/05/30 13:24:26.389,Client,final_uav_1,nan,nan,659,5431.14,9.44,1328.29,111.89,0.0,111.89,0.56,nan
2023/05/30 13:24:27.727,Client,final_uav_1,nan,nan,660,6744.26,8.16,1334.94,107.39,0.0,107.39,0.53,nan
2023/05/30 13:24:29.061,Client,final_uav_1,nan,nan,661,8048.43,8.56,1329.78,112.79,0.0,112.79,1.0,nan
2023/05/30 13:24:30.398,Client,final_uav_1,nan,nan,662,5616.77,11.63,1334.02,92.81,0.0,92.81,0.51,nan
2023/05/30 13:24:30.964,Client,final_uav_1,nan,nan,663,6172.06,4.91,563.2,95.22,0.0,95.22,1.0,nan
2023/05/30 13:24:31.536,Client,final_uav_1,nan,nan,664,5174.79,4.78,568.79,101.7,0.0,101.7,0.55,nan
2023/05/30 13:24:32.113,Client,final_uav_1,nan,nan,665,5735.94,7.72,570.23,101.67,0.0,101.67,1.31,nan
2023/05/30 13:24:32.681,Client,final_uav_1,nan,nan,666,6291.6,7.34,564.96,98.43,0.0,98.43,1.0,nan
2023/05/30 13:24:33.251,Client,final_uav_1,nan,nan,667,5708.63,4.17,565.82,103.69,0.0,103.69,1.0,nan
2023/05/30 13:24:33.825,Client,final_uav_1,nan,nan,668,6264.47,7.76,571.58,103.69,0.0,103.69,0.0,nan
2023/05/30 13:24:34.392,Client,final_uav_1,nan,nan,669,5507.19,4.27,563.52,62.47,0.0,62.47,1.0,nan
2023/05/30 13:24:35.201,Client,final_uav_1,nan,nan,670,6288.31,8.28,805.93,63.18,0.0,63.18,0.55,nan
2023/05/30 13:24:35.998,Client,final_uav_1,nan,nan,671,6224.93,4.98,794.12,71.78,0.0,71.78,0.5,nan
2023/05/30 13:24:36.801,Client,final_uav_1,nan,nan,672,6473.29,7.59,800.5,96.18,0.0,96.18,1.0,nan
2023/05/30 13:24:37.599,Client,final_uav_1,nan,nan,673,7247.22,4.16,794.58,100.14,0.0,100.14,0.0,nan
2023/05/30 13:24:38.400,Client,final_uav_1,nan,nan,674,8028.64,6.82,798.12,109.0,0.0,109.0,0.52,nan
2023/05/30 13:24:39.739,Client,final_uav_1,nan,nan,675,7054.89,6.27,1335.29,70.5,0.0,70.5,0.54,nan
2023/05/30 13:24:41.072,Client,final_uav_1,nan,nan,676,7846.44,7.6,1329.06,80.73,0.0,80.73,0.53,nan
2023/05/30 13:24:42.405,Client,final_uav_1,nan,nan,677,6538.91,8.2,1329.85,64.49,0.0,64.49,0.51,nan
2023/05/30 13:24:43.741,Client,final_uav_1,nan,nan,678,5365.82,6.9,1332.07,79.01,0.0,79.01,0.0,nan
2023/05/30 13:24:45.074,Client,final_uav_1,nan,nan,679,6674.81,5.89,1328.41,79.01,0.0,79.01,0.0,nan
2023/05/30 13:24:46.415,Client,final_uav_1,nan,nan,680,7991.22,13.3,1337.39,75.53,0.0,75.53,0.0,nan
2023/05/30 13:24:50.416,Client,final_uav_1,nan,nan,681,7298.65,10.35,3996.05,85.84,0.0,85.84,0.0,nan
2023/05/30 13:24:52.419,Client,final_uav_1,nan,nan,682,9282.14,10.61,1999.27,85.84,0.0,85.84,0.0,nan
2023/05/30 13:24:54.421,Client,final_uav_1,nan,nan,683,11268.71,12.79,1999.19,86.1,0.0,86.1,0.0,nan
2023/05/30 13:24:58.424,Client,final_uav_1,nan,nan,684,7053.59,8.92,3998.09,101.27,0.0,101.27,1.0,nan
2023/05/30 13:25:00.431,Client,final_uav_1,nan,nan,685,6015.01,11.51,2002.64,105.89,0.0,105.89,1.0,nan
2023/05/30 13:25:02.427,Client,final_uav_1,nan,nan,686,7999.83,8.15,1991.86,105.89,0.0,105.89,0.0,nan
2023/05/30 13:25:12.436,Client,final_uav_1,nan,nan,687,17974.29,3.36,10006.2,105.39,0.0,105.39,0.0,nan
