asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 13:24:13.055,LocalPreprocessor,input,preprocessed,1,0,14502.14,14503.67,390309.98,921.74,11.12,307.36,11.23,0
2023/05/30 13:24:19.478,LocalPreprocessor,input,preprocessed,3,1,20906.1,20906.25,6451.62,921.74,2.25,307.36,8.16,1
2023/05/30 13:24:20.149,LocalPreprocessor,input,preprocessed,4,2,21554.92,7065.09,673.84,921.74,1.15,307.36,6.39,2
2023/05/30 13:24:20.905,LocalPreprocessor,input,preprocessed,7,3,7759.24,1375.86,755.04,921.74,0.94,307.36,6.6,3
2023/05/30 13:24:23.752,LocalPreprocessor,input,preprocessed,8,4,4206.06,3532.28,2840.7,921.74,1.22,307.36,10.55,4
2023/05/30 13:24:24.721,LocalPreprocessor,input,preprocessed,9,5,4494.41,3767.64,971.82,921.74,1.31,307.36,4.29,5
2023/05/30 13:24:26.083,LocalPreprocessor,input,preprocessed,13,6,4150.83,2229.34,1360.07,921.74,1.16,307.36,6.8,6
2023/05/30 13:24:27.490,LocalPreprocessor,input,preprocessed,14,7,3624.39,2705.73,1403.33,921.74,1.54,307.36,7.69,7
2023/05/30 13:24:28.823,LocalPreprocessor,input,preprocessed,16,8,4018.41,2456.33,1330.93,921.74,2.61,307.36,8.67,8
2023/05/30 13:24:29.715,LocalPreprocessor,input,preprocessed,19,9,3317.14,2176.94,895.78,921.74,1.08,307.36,6.74,9
2023/05/30 13:24:30.257,LocalPreprocessor,input,preprocessed,22,10,2671.55,1371.49,537.3,921.74,1.3,307.36,6.87,10
2023/05/30 13:24:31.939,LocalPreprocessor,input,preprocessed,24,11,3016.37,2164.92,1678.98,921.74,1.3,307.36,7.4,11
2023/05/30 13:24:32.626,LocalPreprocessor,input,preprocessed,25,12,2847.86,2303.0,690.86,921.74,1.22,307.36,3.85,12
2023/05/30 13:24:33.186,LocalPreprocessor,input,preprocessed,28,13,2802.77,1199.02,552.47,921.74,1.05,307.36,10.28,13
2023/05/30 13:24:34.065,LocalPreprocessor,input,preprocessed,29,14,2074.96,1386.12,884.77,921.74,0.94,307.36,3.63,14
2023/05/30 13:24:34.895,LocalPreprocessor,input,preprocessed,30,15,2201.44,1665.9,820.58,921.74,1.02,307.36,8.37,15
2023/05/30 13:24:35.798,LocalPreprocessor,input,preprocessed,31,16,2567.25,1606.49,906.55,921.74,1.12,307.36,4.56,16
2023/05/30 13:24:38.325,LocalPreprocessor,input,preprocessed,32,17,4124.26,3382.68,2519.83,921.74,1.18,307.36,8.41,17
2023/05/30 13:24:40.944,LocalPreprocessor,input,preprocessed,33,18,5987.49,5073.5,2612.96,921.74,1.25,307.36,11.79,18
2023/05/30 13:24:43.058,LocalPreprocessor,input,preprocessed,35,19,7168.85,4677.98,2113.0,921.74,2.84,307.36,8.5,19
2023/05/30 13:24:51.306,LocalPreprocessor,input,preprocessed,39,20,12339.28,10242.76,8256.09,921.74,0.96,307.36,4.04,20
2023/05/30 13:24:54.361,LocalPreprocessor,input,preprocessed,40,21,13284.84,11241.16,3046.68,921.74,1.53,307.36,8.87,21
2023/05/30 13:24:57.930,LocalPreprocessor,input,preprocessed,44,22,12784.56,6555.78,3565.93,921.74,1.46,307.36,9.17,22
2023/05/30 13:25:02.909,LocalPreprocessor,input,preprocessed,46,23,11515.73,8495.48,4980.38,921.74,1.11,307.36,6.88,23
2023/05/30 13:25:07.229,LocalPreprocessor,input,preprocessed,50,24,11363.48,6955.66,4313.28,921.74,1.82,307.36,8.63,24
2023/05/30 13:25:13.246,LocalPreprocessor,input,preprocessed,53,25,6168.19,6168.53,6020.57,921.74,1.43,307.36,4.43,25
2023/05/30 13:25:18.012,LocalPreprocessor,input,preprocessed,57,26,3987.13,3987.31,4762.01,921.74,0.97,307.36,7.33,26
2023/05/30 13:25:21.372,LocalPreprocessor,input,preprocessed,59,27,5524.56,5524.73,3360.87,921.74,1.14,307.36,6.38,27
2023/05/30 13:25:23.953,LocalPreprocessor,input,preprocessed,60,28,8082.74,5607.42,2576.18,921.74,1.18,307.36,10.08,28
2023/05/30 13:25:25.447,LocalPreprocessor,input,preprocessed,64,29,2320.49,2320.6,1488.52,921.74,1.3,307.36,11.03,29
2023/05/30 13:25:27.718,LocalPreprocessor,input,preprocessed,65,30,4587.69,3632.8,2274.63,921.74,1.24,307.36,9.95,30
2023/05/30 13:25:29.359,LocalPreprocessor,input,preprocessed,66,31,5265.58,3810.96,1637.44,921.74,1.76,307.36,8.91,31
2023/05/30 13:25:30.460,LocalPreprocessor,input,preprocessed,70,32,3090.62,2410.38,1106.62,921.74,0.81,307.36,4.4,32
2023/05/30 13:25:31.297,LocalPreprocessor,input,preprocessed,71,33,3231.41,1679.36,823.33,921.74,2.97,307.36,12.53,33
2023/05/30 13:25:31.648,LocalPreprocessor,input,preprocessed,73,34,2024.73,1040.94,360.92,921.74,1.19,307.36,6.32,34
2023/05/30 13:25:32.371,LocalPreprocessor,input,preprocessed,75,35,1752.21,1005.71,725.73,921.74,1.03,307.36,3.45,35
2023/05/30 13:25:32.917,LocalPreprocessor,input,preprocessed,77,36,1499.54,1122.75,533.65,921.74,1.3,307.36,11.5,36
2023/05/30 13:25:33.590,LocalPreprocessor,input,preprocessed,78,37,1791.84,1120.32,677.29,921.74,1.11,307.36,4.97,37
2023/05/30 13:25:34.137,LocalPreprocessor,input,preprocessed,79,38,1654.6,1181.22,545.01,921.74,1.02,307.36,6.22,38
2023/05/30 13:25:34.540,LocalPreprocessor,input,preprocessed,80,39,1580.16,896.55,405.74,921.74,0.91,307.36,3.65,39
2023/05/30 13:25:35.385,LocalPreprocessor,input,preprocessed,81,40,1727.62,1158.81,836.96,921.74,1.27,307.36,9.84,40
2023/05/30 13:25:35.853,LocalPreprocessor,input,preprocessed,84,41,1566.66,1133.13,469.63,921.74,2.99,307.36,3.99,41
2023/05/30 13:25:36.776,LocalPreprocessor,input,preprocessed,87,42,472.09,472.83,920.97,921.74,1.09,307.36,7.38,42
2023/05/30 13:25:37.242,LocalPreprocessor,input,preprocessed,88,43,930.78,931.64,470.04,921.74,0.99,307.36,3.65,43
2023/05/30 13:25:39.105,LocalPreprocessor,input,preprocessed,90,44,2092.03,2092.57,1858.73,921.74,1.17,307.36,6.46,44
2023/05/30 13:25:39.860,LocalPreprocessor,input,preprocessed,92,45,367.84,367.24,755.27,921.74,1.1,307.36,4.98,45
2023/05/30 13:25:40.673,LocalPreprocessor,input,preprocessed,96,46,250.11,249.58,809.44,921.74,1.1,307.36,6.79,46
2023/05/30 13:25:40.872,LocalPreprocessor,input,preprocessed,97,47,433.07,433.65,201.46,921.74,1.03,307.36,3.04,47
2023/05/30 13:25:41.253,LocalPreprocessor,input,preprocessed,99,48,494.52,494.7,373.0,921.74,2.15,307.36,8.73,48
2023/05/30 13:25:41.602,LocalPreprocessor,input,preprocessed,100,49,831.93,674.04,351.22,921.74,1.26,307.36,5.51,49
2023/05/30 13:25:41.868,LocalPreprocessor,input,preprocessed,102,50,545.56,546.07,267.21,921.74,1.05,307.36,3.69,50
2023/05/30 13:25:42.174,LocalPreprocessor,input,preprocessed,104,51,463.54,463.79,302.19,921.74,1.1,307.36,6.17,51
2023/05/30 13:25:42.412,LocalPreprocessor,input,preprocessed,105,52,689.65,493.59,237.11,921.74,1.02,307.36,4.55,52
2023/05/30 13:25:42.708,LocalPreprocessor,input,preprocessed,107,53,428.68,428.5,297.06,921.74,1.0,307.36,4.0,53
2023/05/30 13:25:42.915,LocalPreprocessor,input,preprocessed,108,54,615.96,449.34,203.94,921.74,1.17,307.36,6.5,54
2023/05/30 13:25:43.236,LocalPreprocessor,input,preprocessed,109,55,767.36,476.55,321.51,921.74,1.16,307.36,3.88,55
2023/05/30 13:25:43.704,LocalPreprocessor,input,preprocessed,112,56,344.65,345.42,465.72,921.74,1.12,307.36,6.55,56
2023/05/30 13:25:44.130,LocalPreprocessor,input,preprocessed,114,57,324.44,324.86,425.53,921.74,1.23,307.36,5.4,57
2023/05/30 13:25:44.363,LocalPreprocessor,input,preprocessed,115,58,545.43,533.43,232.17,921.74,1.06,307.36,4.17,58
2023/05/30 13:25:44.699,LocalPreprocessor,input,preprocessed,117,59,489.65,490.04,335.87,921.74,1.8,307.36,3.26,59
2023/05/30 13:25:45.048,LocalPreprocessor,input,preprocessed,119,60,435.14,435.69,342.6,921.74,1.06,307.36,9.28,60
2023/05/30 13:25:45.403,LocalPreprocessor,input,preprocessed,120,61,780.84,646.08,358.66,921.74,1.53,307.36,4.22,61
2023/05/30 13:25:45.760,LocalPreprocessor,input,preprocessed,123,62,465.71,465.96,350.58,921.74,1.12,307.36,5.78,62
2023/05/30 13:25:46.341,LocalPreprocessor,input,preprocessed,126,63,334.08,334.69,578.71,921.74,1.5,307.36,7.6,63
2023/05/30 13:25:46.684,LocalPreprocessor,input,preprocessed,127,64,648.07,648.27,343.09,921.74,1.52,307.36,6.67,64
2023/05/30 13:25:47.044,LocalPreprocessor,input,preprocessed,128,65,970.35,632.88,360.63,921.74,1.24,307.36,3.58,65
2023/05/30 13:25:47.446,LocalPreprocessor,input,preprocessed,132,66,425.4,425.79,401.39,921.74,1.14,307.36,4.56,66
2023/05/30 13:25:47.890,LocalPreprocessor,input,preprocessed,133,67,797.44,720.0,380.49,921.74,1.24,307.36,66.38,67
2023/05/30 13:25:49.407,LocalPreprocessor,input,preprocessed,141,68,334.06,334.88,1571.95,921.74,1.93,307.36,7.92,68
2023/05/30 13:25:49.771,LocalPreprocessor,input,preprocessed,142,69,686.55,687.4,368.88,921.74,1.06,307.36,3.6,69
2023/05/30 13:25:50.124,LocalPreprocessor,input,preprocessed,143,70,1016.3,647.06,350.58,921.74,1.41,307.36,4.75,70
