asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 07:27:55.958,CloudInferencer,preprocessed,result,2,169,768.56,30.52,263572.18,307.33,325.73,0.32,15.08,169
2023/05/30 07:27:56.085,CloudInferencer,preprocessed,result,5,170,584.14,21.41,360.79,307.33,114.75,0.32,5.3,170
2023/05/30 07:27:56.429,CloudInferencer,preprocessed,result,6,171,908.87,10.99,340.41,307.33,118.75,0.32,4.33,171
2023/05/30 07:27:56.910,CloudInferencer,preprocessed,result,10,172,352.8,10.95,481.72,307.33,115.71,0.32,4.69,172
2023/05/30 07:27:57.222,CloudInferencer,preprocessed,result,11,173,641.96,17.08,303.53,307.33,118.45,0.32,9.99,173
2023/05/30 07:27:58.457,CloudInferencer,preprocessed,result,12,174,1849.81,16.03,1230.9,307.33,122.42,0.32,9.36,174
2023/05/30 07:27:58.630,CloudInferencer,preprocessed,result,15,175,457.27,10.58,179.46,307.33,119.71,0.32,4.46,175
2023/05/30 07:27:58.920,CloudInferencer,preprocessed,result,17,176,390.64,10.61,289.19,307.33,119.59,0.32,4.46,176
2023/05/30 07:27:59.254,CloudInferencer,preprocessed,result,18,177,709.91,10.21,337.54,307.33,114.77,0.32,4.56,177
2023/05/30 07:27:59.581,CloudInferencer,preprocessed,result,20,178,757.97,12.31,327.26,307.33,114.01,0.32,4.77,178
2023/05/30 07:27:59.910,CloudInferencer,preprocessed,result,21,179,933.72,15.7,313.52,307.33,122.05,0.32,11.04,179
2023/05/30 07:28:00.243,CloudInferencer,preprocessed,result,23,180,940.35,10.33,342.73,307.33,117.97,0.32,5.01,180
2023/05/30 07:28:00.560,CloudInferencer,preprocessed,result,26,181,790.8,10.23,318.97,307.33,115.41,0.32,4.55,181
2023/05/30 07:28:00.892,CloudInferencer,preprocessed,result,27,182,933.27,9.74,329.6,307.33,116.62,0.32,4.9,182
