asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 14:27:55.684,LocalForwarder,preprocessed,preprocessed,2,169,736.82,11.58,353146.03,307.36,0.01,307.36,106.02,169
2023/05/30 14:27:56.039,LocalForwarder,preprocessed,preprocessed,5,170,563.05,5.29,361.28,307.36,0.01,307.36,96.53,170
2023/05/30 14:27:56.388,LocalForwarder,preprocessed,preprocessed,6,171,898.49,4.58,350.42,307.36,0.01,307.36,93.16,171
2023/05/30 14:27:56.870,LocalForwarder,preprocessed,preprocessed,10,172,341.5,10.63,480.09,307.36,0.01,307.36,93.63,172
2023/05/30 14:27:57.181,LocalForwarder,preprocessed,preprocessed,11,173,625.25,8.34,295.89,307.36,0.01,307.36,106.29,173
2023/05/30 14:27:58.406,LocalForwarder,preprocessed,preprocessed,12,174,1834.04,11.32,1230.6,307.36,0.01,307.36,97.92,174
2023/05/30 14:27:58.587,LocalForwarder,preprocessed,preprocessed,15,175,446.64,6.91,183.02,307.36,0.01,307.36,92.9,175
2023/05/30 14:27:58.878,LocalForwarder,preprocessed,preprocessed,17,176,379.83,5.8,287.38,307.36,0.01,307.36,93.76,176
2023/05/30 14:27:59.216,LocalForwarder,preprocessed,preprocessed,18,177,699.96,4.27,336.99,307.36,0.01,307.36,92.83,177
2023/05/30 14:27:59.544,LocalForwarder,preprocessed,preprocessed,20,178,744.3,5.77,321.53,307.36,0.03,307.36,95.14,178
2023/05/30 14:27:59.858,LocalForwarder,preprocessed,preprocessed,21,179,917.52,8.54,307.75,307.36,0.01,307.36,99.06,179
2023/05/30 14:28:00.204,LocalForwarder,preprocessed,preprocessed,23,180,929.54,10.56,346.61,307.36,0.03,307.36,94.65,180
2023/05/30 14:28:00.522,LocalForwarder,preprocessed,preprocessed,26,181,780.09,5.48,317.22,307.36,0.02,307.36,93.15,181
2023/05/30 14:28:00.852,LocalForwarder,preprocessed,preprocessed,27,182,923.33,5.77,328.96,307.36,0.04,307.36,92.52,182
2023/05/30 14:28:01.842,LocalForwarder,preprocessed,preprocessed,34,183,331.59,11.91,982.66,307.36,0.03,307.36,97.39,183
2023/05/30 14:28:02.168,LocalForwarder,preprocessed,preprocessed,36,184,455.01,8.25,325.6,307.36,0.01,307.36,95.27,184
2023/05/30 14:28:02.484,LocalForwarder,preprocessed,preprocessed,37,185,757.63,5.89,315.81,307.36,0.01,307.36,93.21,185
2023/05/30 14:28:02.852,LocalForwarder,preprocessed,preprocessed,38,186,971.75,4.87,366.97,307.36,0.01,307.36,92.41,186
2023/05/30 14:28:03.218,LocalForwarder,preprocessed,preprocessed,41,187,822.27,8.6,356.68,307.36,0.01,307.36,99.18,187
2023/05/30 14:28:03.589,LocalForwarder,preprocessed,preprocessed,42,188,1049.89,5.61,375.67,307.36,0.04,307.36,92.66,188
2023/05/30 14:28:04.003,LocalForwarder,preprocessed,preprocessed,43,189,1088.34,7.03,409.25,307.36,0.01,307.36,94.78,189
2023/05/30 14:28:04.554,LocalForwarder,preprocessed,preprocessed,45,190,1196.73,12.96,546.61,307.36,0.01,307.36,97.74,190
2023/05/30 14:28:04.749,LocalForwarder,preprocessed,preprocessed,47,191,998.97,4.7,196.38,307.36,0.02,307.36,93.02,191
2023/05/30 14:28:04.963,LocalForwarder,preprocessed,preprocessed,48,192,798.2,4.98,208.52,307.36,0.01,307.36,96.02,192
2023/05/30 14:28:05.353,LocalForwarder,preprocessed,preprocessed,49,193,764.25,4.21,388.44,307.36,0.01,307.36,92.75,193
2023/05/30 14:28:05.570,LocalForwarder,preprocessed,preprocessed,51,194,752.12,9.21,213.5,307.36,0.02,307.36,94.46,194
2023/05/30 14:28:06.033,LocalForwarder,preprocessed,preprocessed,52,195,1016.97,8.63,452.82,307.36,0.01,307.36,101.09,195
2023/05/30 14:28:06.245,LocalForwarder,preprocessed,preprocessed,54,196,833.03,6.11,215.76,307.36,0.02,307.36,94.25,196
2023/05/30 14:28:06.451,LocalForwarder,preprocessed,preprocessed,55,197,748.59,7.09,202.12,307.36,0.01,307.36,94.44,197
2023/05/30 14:28:07.740,LocalForwarder,preprocessed,preprocessed,56,198,1642.46,16.16,1273.47,307.36,0.01,307.36,108.46,198
2023/05/30 14:28:09.037,LocalForwarder,preprocessed,preprocessed,58,199,2741.92,10.71,1295.71,307.36,0.02,307.36,98.93,199
2023/05/30 14:28:10.387,LocalForwarder,preprocessed,preprocessed,61,200,3470.49,8.46,1348.29,307.36,0.01,307.36,98.86,200
2023/05/30 14:28:11.312,LocalForwarder,preprocessed,preprocessed,62,201,3491.25,7.32,927.66,307.36,0.01,307.36,92.95,201
