asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 13:24:11.126,UAVFrameProducer,None,input,2,-1,-1,11.98,27.24,921.74,0.0,921.76,12582.35,663
2023/05/30 13:24:13.057,UAVFrameProducer,None,input,1,-1,-1,0.0,0.0,921.74,0.0,921.76,14541.42,0
2023/05/30 13:24:15.889,UAVFrameProducer,None,input,5,-1,-1,0.0,8.0,921.74,0.0,921.76,2799.26,664
2023/05/30 13:24:19.086,UAVFrameProducer,None,input,6,-1,-1,20.87,23.58,921.74,0.0,921.76,5963.02,665
2023/05/30 13:24:19.503,UAVFrameProducer,None,input,3,-1,-1,9.0,17.99,921.74,0.0,921.76,20934.94,1
2023/05/30 13:24:20.187,UAVFrameProducer,None,input,4,-1,-1,11.8,8.0,921.74,0.0,921.76,21598.41,2
2023/05/30 13:24:20.938,UAVFrameProducer,None,input,7,-1,-1,6.37,21.97,921.74,0.0,921.76,7799.04,3
2023/05/30 13:24:21.879,UAVFrameProducer,None,input,10,-1,-1,0.0,1.0,921.74,0.0,921.76,918.02,666
2023/05/30 13:24:22.604,UAVFrameProducer,None,input,11,-1,-1,20.69,25.57,921.74,0.0,921.76,1622.08,667
2023/05/30 13:24:23.700,UAVFrameProducer,None,input,12,-1,-1,19.23,19.6,921.74,0.0,921.76,2686.18,668
2023/05/30 13:24:23.837,UAVFrameProducer,None,input,8,-1,-1,0.08,14.3,921.74,0.0,921.76,4303.4,4
2023/05/30 13:24:24.767,UAVFrameProducer,None,input,9,-1,-1,0.0,10.37,921.74,0.24,921.76,4545.77,5
2023/05/30 13:24:25.848,UAVFrameProducer,None,input,15,-1,-1,0.0,1.09,921.74,0.0,921.76,1064.53,669
2023/05/30 13:24:26.341,UAVFrameProducer,None,input,13,-1,-1,1.01,11.15,921.74,0.0,921.76,4418.18,6
2023/05/30 13:24:26.773,UAVFrameProducer,None,input,17,-1,-1,0.69,4.99,921.74,0.0,921.76,408.25,670
2023/05/30 13:24:27.331,UAVFrameProducer,None,input,18,-1,-1,6.86,13.15,921.74,0.0,921.76,956.92,671
2023/05/30 13:24:27.519,UAVFrameProducer,None,input,14,-1,-1,0.0,0.0,921.74,0.0,921.76,3663.05,7
2023/05/30 13:24:28.446,UAVFrameProducer,None,input,20,-1,-1,0.0,5.23,921.74,0.0,921.76,901.49,672
2023/05/30 13:24:28.714,UAVFrameProducer,None,input,21,-1,-1,7.01,24.22,921.74,0.0,921.76,1154.36,673
2023/05/30 13:24:28.864,UAVFrameProducer,None,input,16,-1,-1,6.0,18.9,921.74,0.0,921.76,4072.15,8
2023/05/30 13:24:29.518,UAVFrameProducer,None,input,23,-1,-1,0.0,4.21,921.74,0.0,921.76,631.22,674
2023/05/30 13:24:29.752,UAVFrameProducer,None,input,19,-1,-1,11.0,13.99,921.74,0.91,921.76,3361.7,9
2023/05/30 13:24:30.305,UAVFrameProducer,None,input,22,-1,-1,10.54,12.57,921.74,0.0,921.76,2727.28,10
2023/05/30 13:24:31.149,UAVFrameProducer,None,input,26,-1,-1,0.0,7.02,921.74,0.0,921.76,820.92,675
2023/05/30 13:24:31.655,UAVFrameProducer,None,input,27,-1,-1,16.09,19.79,921.74,0.0,921.76,1303.3,676
2023/05/30 13:24:31.962,UAVFrameProducer,None,input,24,-1,-1,18.8,17.0,921.74,0.0,921.76,3048.82,11
2023/05/30 13:24:32.658,UAVFrameProducer,None,input,25,-1,-1,0.0,5.03,921.74,0.0,921.76,2884.31,12
2023/05/30 13:24:33.205,UAVFrameProducer,None,input,28,-1,-1,13.25,15.06,921.74,0.0,921.76,2832.93,13
2023/05/30 13:24:34.176,UAVFrameProducer,None,input,29,-1,-1,0.0,3.98,921.74,0.0,921.76,2191.14,14
2023/05/30 13:24:34.924,UAVFrameProducer,None,input,30,-1,-1,0.0,5.09,921.74,0.0,921.76,2239.83,15
2023/05/30 13:24:35.844,UAVFrameProducer,None,input,31,-1,-1,0.0,5.0,921.74,0.96,921.76,2618.08,16
2023/05/30 13:24:37.608,UAVFrameProducer,None,input,34,-1,-1,0.0,4.93,921.74,0.0,921.76,1740.7,677
2023/05/30 13:24:38.356,UAVFrameProducer,None,input,32,-1,-1,0.0,10.81,921.74,0.0,921.76,4163.68,17
2023/05/30 13:24:38.939,UAVFrameProducer,None,input,36,-1,-1,0.0,6.0,921.74,0.0,921.76,564.03,678
2023/05/30 13:24:39.509,UAVFrameProducer,None,input,37,-1,-1,18.04,13.95,921.74,0.0,921.76,1109.12,679
2023/05/30 13:24:40.734,UAVFrameProducer,None,input,38,-1,-1,18.95,20.41,921.74,0.0,921.76,2307.45,680
2023/05/30 13:24:41.045,UAVFrameProducer,None,input,33,-1,-1,0.0,6.06,921.74,0.0,921.76,6101.26,18
2023/05/30 13:24:43.097,UAVFrameProducer,None,input,35,-1,-1,4.52,18.0,921.74,0.0,921.76,7221.44,19
2023/05/30 13:24:45.113,UAVFrameProducer,None,input,41,-1,-1,0.0,3.98,921.74,0.0,921.76,1996.54,681
2023/05/30 13:24:47.863,UAVFrameProducer,None,input,42,-1,-1,7.55,16.49,921.74,0.0,921.76,4722.71,682
2023/05/30 13:24:50.176,UAVFrameProducer,None,input,43,-1,-1,11.63,17.59,921.74,0.0,921.76,7024.19,683
2023/05/30 13:24:51.345,UAVFrameProducer,None,input,39,-1,-1,0.0,4.69,921.74,0.0,921.76,12382.56,20
2023/05/30 13:24:53.767,UAVFrameProducer,None,input,45,-1,-1,0.0,8.88,921.74,0.0,921.76,2397.03,684
2023/05/30 13:24:54.396,UAVFrameProducer,None,input,40,-1,-1,0.0,10.02,921.74,0.0,921.76,13331.12,21
2023/05/30 13:24:55.819,UAVFrameProducer,None,input,47,-1,-1,0.0,3.0,921.74,0.0,921.76,1401.68,685
2023/05/30 13:25:00.243,UAVFrameProducer,None,input,44,-1,-1,0.0,3.0,921.74,0.0,921.76,15108.36,22
2023/05/30 13:25:00.663,UAVFrameProducer,None,input,48,-1,-1,5.11,15.99,921.74,0.0,921.76,6235.83,686
2023/05/30 13:25:02.934,UAVFrameProducer,None,input,46,-1,-1,5.29,11.11,921.74,0.0,921.76,11549.77,23
2023/05/30 13:25:07.045,UAVFrameProducer,None,input,49,-1,-1,27.73,11.58,921.74,0.0,921.76,12583.02,687
2023/05/30 13:25:07.613,UAVFrameProducer,None,input,50,-1,-1,0.0,12.36,921.74,0.0,921.76,11757.21,24
2023/05/30 13:25:11.754,UAVFrameProducer,None,input,51,-1,-1,0.0,7.78,921.74,0.0,921.76,11472.5,688
2023/05/30 13:25:13.305,UAVFrameProducer,None,input,53,-1,-1,0.0,6.93,921.74,0.0,921.76,6233.98,25
2023/05/30 13:25:13.454,UAVFrameProducer,None,input,52,-1,-1,0.0,4.96,921.74,0.0,921.76,12771.41,689
2023/05/30 13:25:13.993,UAVFrameProducer,None,input,54,-1,-1,18.74,17.62,921.74,0.0,921.76,6895.15,690
2023/05/30 13:25:15.816,UAVFrameProducer,None,input,55,-1,-1,0.0,4.99,921.74,0.0,921.76,4034.02,691
2023/05/30 13:25:18.319,UAVFrameProducer,None,input,57,-1,-1,0.0,7.05,921.74,0.0,921.76,4302.35,26
2023/05/30 13:25:18.363,UAVFrameProducer,None,input,56,-1,-1,0.0,5.98,921.74,0.0,921.76,4884.02,692
2023/05/30 13:25:20.920,UAVFrameProducer,None,input,58,-1,-1,7.14,15.82,921.74,0.0,921.76,6889.93,693
2023/05/30 13:25:21.420,UAVFrameProducer,None,input,59,-1,-1,0.0,2.05,921.74,0.0,921.76,5581.31,27
2023/05/30 13:25:23.079,UAVFrameProducer,None,input,61,-1,-1,0.0,6.5,921.74,0.0,921.76,4739.86,694
2023/05/30 13:25:23.891,UAVFrameProducer,None,input,62,-1,-1,0.0,6.0,921.74,0.0,921.76,5505.39,695
2023/05/30 13:25:24.068,UAVFrameProducer,None,input,60,-1,-1,13.71,33.8,921.74,0.0,921.76,8209.0,28
2023/05/30 13:25:24.403,UAVFrameProducer,None,input,63,-1,-1,0.0,3.32,921.74,0.0,921.76,3462.2,696
2023/05/30 13:25:25.494,UAVFrameProducer,None,input,64,-1,-1,0.0,4.68,921.74,0.0,921.76,2381.45,29
2023/05/30 13:25:27.346,UAVFrameProducer,None,input,67,-1,-1,0.0,14.59,921.74,0.0,921.76,1796.52,697
2023/05/30 13:25:28.030,UAVFrameProducer,None,input,65,-1,-1,4.0,19.18,921.74,0.0,921.76,4908.05,30
2023/05/30 13:25:29.306,UAVFrameProducer,None,input,68,-1,-1,23.32,18.75,921.74,0.0,921.76,3725.67,698
2023/05/30 13:25:29.572,UAVFrameProducer,None,input,66,-1,-1,0.0,0.38,921.74,0.0,921.76,5489.69,31
2023/05/30 13:25:30.468,UAVFrameProducer,None,input,69,-1,-1,6.58,23.19,921.74,0.0,921.76,4873.87,699
2023/05/30 13:25:30.583,UAVFrameProducer,None,input,70,-1,-1,0.0,3.98,921.74,0.0,921.76,3218.78,32
2023/05/30 13:25:31.336,UAVFrameProducer,None,input,72,-1,-1,1.01,7.33,921.74,0.0,921.76,1728.65,700
2023/05/30 13:25:31.339,UAVFrameProducer,None,input,71,-1,-1,0.0,0.34,921.74,0.0,921.76,3291.51,33
2023/05/30 13:25:31.760,UAVFrameProducer,None,input,73,-1,-1,4.61,16.03,921.74,0.0,921.76,2144.3,34
2023/05/30 13:25:32.451,UAVFrameProducer,None,input,75,-1,-1,3.0,18.14,921.74,0.0,921.76,1837.6,35
2023/05/30 13:25:32.490,UAVFrameProducer,None,input,74,-1,-1,0.0,7.76,921.74,0.0,921.76,1883.6,701
2023/05/30 13:25:32.936,UAVFrameProducer,None,input,77,-1,-1,20.01,27.71,921.74,0.0,921.76,1532.07,36
2023/05/30 13:25:33.622,UAVFrameProducer,None,input,78,-1,-1,0.0,6.06,921.74,0.0,921.76,1830.08,37
2023/05/30 13:25:33.772,UAVFrameProducer,None,input,76,-1,-1,0.0,10.04,921.74,0.0,921.76,2397.44,702
2023/05/30 13:25:34.195,UAVFrameProducer,None,input,79,-1,-1,0.0,4.71,921.74,0.0,921.76,1717.65,38
2023/05/30 13:25:34.684,UAVFrameProducer,None,input,80,-1,-1,0.0,0.0,921.74,0.0,921.76,1719.96,39
2023/05/30 13:25:35.423,UAVFrameProducer,None,input,81,-1,-1,0.0,8.08,921.74,0.0,921.76,1776.07,40
2023/05/30 13:25:35.466,UAVFrameProducer,None,input,82,-1,-1,0.0,8.0,921.74,0.0,921.76,1237.15,703
2023/05/30 13:25:35.872,UAVFrameProducer,None,input,84,-1,-1,12.12,12.05,921.74,0.0,921.76,1594.0,41
2023/05/30 13:25:36.262,UAVFrameProducer,None,input,83,-1,-1,21.56,25.09,921.74,0.0,921.76,2002.18,704
2023/05/30 13:25:36.811,UAVFrameProducer,None,input,87,-1,-1,0.0,8.58,921.74,0.0,921.76,515.36,42
2023/05/30 13:25:36.932,UAVFrameProducer,None,input,85,-1,-1,0.0,20.56,921.74,0.0,921.76,2203.79,705
2023/05/30 13:25:37.285,UAVFrameProducer,None,input,88,-1,-1,5.09,11.27,921.74,0.0,921.76,977.97,43
2023/05/30 13:25:39.170,UAVFrameProducer,None,input,90,-1,-1,0.0,24.77,921.74,0.0,921.76,2162.54,44
2023/05/30 13:25:39.470,UAVFrameProducer,None,input,86,-1,-1,0.0,8.73,921.74,0.0,921.76,3977.16,706
2023/05/30 13:25:39.893,UAVFrameProducer,None,input,92,-1,-1,0.0,1.0,921.74,0.0,921.76,404.96,45
2023/05/30 13:25:39.941,UAVFrameProducer,None,input,89,-1,-1,14.14,16.31,921.74,0.0,921.76,3614.1,707
2023/05/30 13:25:40.169,UAVFrameProducer,None,input,91,-1,-1,5.35,21.95,921.74,0.0,921.76,3150.59,708
2023/05/30 13:25:40.393,UAVFrameProducer,None,input,93,-1,-1,6.4,25.6,921.74,0.0,921.76,887.78,709
2023/05/30 13:25:40.698,UAVFrameProducer,None,input,96,-1,-1,0.0,5.56,921.74,0.0,921.76,282.69,46
2023/05/30 13:25:40.724,UAVFrameProducer,None,input,94,-1,-1,0.0,10.81,921.74,0.0,921.76,750.01,710
2023/05/30 13:25:40.904,UAVFrameProducer,None,input,97,-1,-1,14.06,16.72,921.74,0.0,921.76,468.29,47
2023/05/30 13:25:41.280,UAVFrameProducer,None,input,95,-1,-1,0.0,4.96,921.74,0.0,921.76,1078.28,711
2023/05/30 13:25:41.287,UAVFrameProducer,None,input,99,-1,-1,0.0,5.0,921.74,0.0,921.76,538.65,48
