asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 14:27:55.573,LocalPreprocessor,input,preprocessed,2,851,718.53,720.24,349964.72,921.74,4.28,307.36,7.8,169
2023/05/30 14:27:55.942,LocalPreprocessor,input,preprocessed,5,852,552.65,552.89,375.55,921.74,3.26,307.36,5.02,170
2023/05/30 14:27:56.293,LocalPreprocessor,input,preprocessed,6,853,892.24,689.34,354.3,921.74,1.1,307.36,3.58,171
2023/05/30 14:27:56.776,LocalPreprocessor,input,preprocessed,10,854,328.53,328.66,474.85,921.74,1.9,307.36,9.78,172
2023/05/30 14:27:57.074,LocalPreprocessor,input,preprocessed,11,855,614.81,614.9,300.5,921.74,1.19,307.36,7.21,173
2023/05/30 14:27:58.306,LocalPreprocessor,input,preprocessed,12,856,1820.56,334.74,1228.54,921.74,1.33,307.36,9.97,174
2023/05/30 14:27:58.493,LocalPreprocessor,input,preprocessed,15,857,437.63,437.94,186.98,921.74,1.55,307.36,5.52,175
2023/05/30 14:27:58.782,LocalPreprocessor,input,preprocessed,17,858,371.84,371.79,290.6,921.74,1.49,307.36,4.52,176
2023/05/30 14:27:59.122,LocalPreprocessor,input,preprocessed,18,859,693.45,572.8,338.51,921.74,1.48,307.36,3.09,177
2023/05/30 14:27:59.445,LocalPreprocessor,input,preprocessed,20,860,736.14,608.64,318.3,921.74,1.4,307.36,3.7,178
2023/05/30 14:27:59.758,LocalPreprocessor,input,preprocessed,21,861,907.71,590.67,312.93,921.74,0.9,307.36,7.37,179
2023/05/30 14:28:00.107,LocalPreprocessor,input,preprocessed,23,862,916.63,619.61,344.21,921.74,1.76,307.36,7.84,180
2023/05/30 14:28:00.427,LocalPreprocessor,input,preprocessed,26,863,772.76,599.18,322.0,921.74,1.76,307.36,3.84,181
2023/05/30 14:28:00.758,LocalPreprocessor,input,preprocessed,27,864,915.93,611.39,330.04,921.74,1.31,307.36,4.26,182
2023/05/30 14:28:01.745,LocalPreprocessor,input,preprocessed,34,865,317.85,318.17,978.1,921.74,1.21,307.36,10.88,183
2023/05/30 14:28:02.072,LocalPreprocessor,input,preprocessed,36,866,445.16,445.4,331.58,921.74,1.29,307.36,6.97,184
2023/05/30 14:28:02.389,LocalPreprocessor,input,preprocessed,37,867,750.93,602.17,319.33,921.74,0.85,307.36,4.35,185
2023/05/30 14:28:02.758,LocalPreprocessor,input,preprocessed,38,868,965.33,638.45,368.34,921.74,0.99,307.36,3.74,186
2023/05/30 14:28:03.117,LocalPreprocessor,input,preprocessed,41,869,812.46,667.85,353.84,921.74,1.28,307.36,7.07,187
2023/05/30 14:28:03.495,LocalPreprocessor,input,preprocessed,42,870,1042.69,676.39,378.6,921.74,1.21,307.36,4.0,188
2023/05/30 14:28:03.907,LocalPreprocessor,input,preprocessed,43,871,1078.99,659.68,408.98,921.74,1.71,307.36,6.1,189
2023/05/30 14:28:04.455,LocalPreprocessor,input,preprocessed,45,872,1182.17,828.38,541.98,921.74,1.33,307.36,11.17,190
2023/05/30 14:28:04.654,LocalPreprocessor,input,preprocessed,47,873,993.27,588.95,205.63,921.74,0.89,307.36,2.98,191
2023/05/30 14:28:04.866,LocalPreprocessor,input,preprocessed,48,874,792.15,371.78,209.41,921.74,0.84,307.36,3.56,192
2023/05/30 14:28:05.259,LocalPreprocessor,input,preprocessed,49,875,758.15,548.12,391.74,921.74,1.18,307.36,3.39,193
2023/05/30 14:28:05.475,LocalPreprocessor,input,preprocessed,51,876,740.35,557.86,207.65,921.74,1.21,307.36,8.32,194
2023/05/30 14:28:05.930,LocalPreprocessor,input,preprocessed,52,877,1006.81,619.48,457.03,921.74,0.99,307.36,7.64,195
2023/05/30 14:28:06.148,LocalPreprocessor,input,preprocessed,54,878,824.67,540.78,218.45,921.74,1.3,307.36,4.71,196
2023/05/30 14:28:06.354,LocalPreprocessor,input,preprocessed,55,879,739.58,367.14,201.59,921.74,1.43,307.36,5.44,197
2023/05/30 14:28:07.630,LocalPreprocessor,input,preprocessed,56,880,1624.56,1430.29,1263.44,921.74,1.25,307.36,13.85,198
2023/05/30 14:28:08.936,LocalPreprocessor,input,preprocessed,58,881,2729.32,2526.06,1311.79,921.74,1.07,307.36,8.06,199
2023/05/30 14:28:10.287,LocalPreprocessor,input,preprocessed,61,882,3460.18,2558.12,1351.66,921.74,1.2,307.36,6.99,200
2023/05/30 14:28:11.217,LocalPreprocessor,input,preprocessed,62,883,3482.66,2219.72,930.96,921.74,1.23,307.36,4.97,201
2023/05/30 14:28:13.655,LocalPreprocessor,input,preprocessed,63,884,4646.92,3330.13,2435.21,921.74,1.19,307.36,6.5,202
2023/05/30 14:28:15.652,LocalPreprocessor,input,preprocessed,67,885,3293.34,3293.49,1994.23,921.74,1.29,307.36,7.8,203
2023/05/30 14:28:16.062,LocalPreprocessor,input,preprocessed,68,886,3696.95,2285.78,413.1,921.74,1.0,307.36,4.33,204
2023/05/30 14:28:16.744,LocalPreprocessor,input,preprocessed,69,887,2953.16,948.47,672.4,921.74,1.27,307.36,11.94,205
2023/05/30 14:28:17.229,LocalPreprocessor,input,preprocessed,72,888,1290.5,1097.55,489.32,921.74,1.06,307.36,7.0,206
2023/05/30 14:28:17.595,LocalPreprocessor,input,preprocessed,74,889,1014.19,738.5,367.14,921.74,1.12,307.36,4.15,207
