asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/30 07:22:19.011,MergerProducer,None,None,None,-1,-1,4000.39,4000.39,0.06,0.01,0.06,0.02,None
2023/05/30 07:22:23.015,MergerProducer,None,nan,nan,-1,-1,4001.02,4001.02,0.06,0.01,0.06,0.01,nan
2023/05/30 07:22:27.019,MergerProducer,None,nan,nan,-1,-1,4001.1,4001.1,0.06,0.01,0.06,0.01,nan
2023/05/30 07:22:31.023,MergerProducer,None,nan,nan,-1,-1,4000.45,4000.45,0.06,0.02,0.06,0.01,nan
2023/05/30 07:22:35.026,MergerProducer,None,nan,nan,-1,-1,4000.35,4000.35,0.06,0.01,0.06,0.01,nan
2023/05/30 07:22:39.030,MergerProducer,None,nan,nan,-1,-1,4001.12,4001.12,0.06,0.01,0.06,0.01,nan
2023/05/30 07:22:43.032,MergerProducer,None,nan,nan,-1,-1,3999.62,3999.62,0.06,0.01,0.06,0.01,nan
2023/05/30 07:22:47.036,MergerProducer,None,nan,nan,-1,-1,4000.85,4000.85,0.06,0.01,0.06,0.01,nan
2023/05/30 07:22:51.039,MergerProducer,None,nan,nan,-1,-1,4000.29,4000.29,0.06,0.01,0.06,0.01,nan
2023/05/30 07:22:55.042,MergerProducer,None,nan,nan,-1,-1,4000.5,4000.5,0.06,0.01,0.06,0.01,nan
2023/05/30 07:22:59.046,MergerProducer,None,nan,nan,-1,-1,4001.05,4001.05,0.06,0.01,0.06,0.03,nan
2023/05/30 07:23:03.049,MergerProducer,None,nan,nan,-1,-1,4000.28,4000.28,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:07.054,MergerProducer,None,nan,nan,-1,-1,4001.71,4001.71,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:11.058,MergerProducer,None,nan,nan,-1,-1,4001.13,4001.13,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:15.061,MergerProducer,None,nan,nan,-1,-1,4000.55,4000.55,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:19.065,MergerProducer,None,nan,nan,-1,-1,4001.48,4001.48,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:23.069,MergerProducer,None,nan,nan,-1,-1,4001.11,4001.11,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:27.074,MergerProducer,None,nan,nan,-1,-1,4001.11,4001.11,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:31.078,MergerProducer,None,nan,nan,-1,-1,4000.96,4000.96,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:35.082,MergerProducer,None,nan,nan,-1,-1,4001.22,4001.22,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:39.086,MergerProducer,None,nan,nan,-1,-1,4000.4,4000.4,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:43.089,MergerProducer,None,nan,nan,-1,-1,4000.62,4000.62,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:47.093,MergerProducer,None,nan,nan,-1,-1,4000.45,4000.45,0.06,0.01,0.06,0.03,nan
2023/05/30 07:23:51.096,MergerProducer,None,nan,nan,-1,-1,4000.65,4000.65,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:55.100,MergerProducer,None,nan,nan,-1,-1,4001.32,4001.32,0.06,0.01,0.06,0.01,nan
2023/05/30 07:23:59.104,MergerProducer,None,nan,nan,-1,-1,4001.04,4001.04,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:03.108,MergerProducer,None,nan,nan,-1,-1,4001.05,4001.05,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:07.111,MergerProducer,None,nan,nan,-1,-1,4000.46,4000.46,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:11.114,MergerProducer,None,nan,nan,-1,-1,4000.49,4000.49,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:15.118,MergerProducer,None,nan,nan,-1,-1,4001.08,4001.08,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:19.122,MergerProducer,None,nan,nan,-1,-1,4000.99,4000.99,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:23.125,MergerProducer,None,nan,nan,-1,-1,4000.65,4000.65,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:27.130,MergerProducer,None,nan,nan,-1,-1,4001.95,4001.95,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:31.134,MergerProducer,None,nan,nan,-1,-1,4000.6,4000.6,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:35.138,MergerProducer,None,nan,nan,-1,-1,4001.16,4001.16,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:39.140,MergerProducer,None,nan,nan,-1,-1,4000.28,4000.28,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:43.144,MergerProducer,None,nan,nan,-1,-1,4000.49,4000.49,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:47.147,MergerProducer,None,nan,nan,-1,-1,4000.87,4000.87,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:51.151,MergerProducer,None,nan,nan,-1,-1,4001.13,4001.13,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:55.155,MergerProducer,None,nan,nan,-1,-1,4001.12,4001.12,0.06,0.01,0.06,0.01,nan
2023/05/30 07:24:59.159,MergerProducer,None,nan,nan,-1,-1,4001.24,4001.24,0.06,0.01,0.06,0.01,nan
2023/05/30 07:25:03.163,MergerProducer,None,nan,nan,-1,-1,4000.91,4000.91,0.06,0.01,0.06,0.01,nan
2023/05/30 07:25:07.166,MergerProducer,None,nan,nan,-1,-1,4000.36,4000.36,0.06,0.01,0.06,0.01,nan
2023/05/30 07:25:11.168,MergerProducer,None,nan,nan,-1,-1,3999.83,3999.83,0.06,0.01,0.06,0.01,nan
2023/05/30 07:25:15.172,MergerProducer,None,nan,nan,-1,-1,4001.18,4001.18,0.06,0.01,0.06,0.01,nan
2023/05/30 07:25:19.175,MergerProducer,None,nan,nan,-1,-1,4000.54,4000.54,0.06,0.01,0.06,0.01,nan
2023/05/30 07:25:23.179,MergerProducer,None,nan,nan,-1,-1,4000.64,4000.64,0.06,0.01,0.06,0.01,nan
2023/05/30 07:25:27.181,MergerProducer,None,nan,nan,-1,-1,4000.33,4000.33,0.06,0.01,0.06,0.01,nan
2023/05/30 07:25:31.186,MergerProducer,None,nan,nan,-1,-1,4001.46,4001.46,0.06,0.01,0.06,0.01,nan
