asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 15:33:02.163,Client,final_uav_2,None,None,0,13711.91,28.34,375597.12,126.82,0.0,126.82,1.05,None
2023/05/31 15:33:02.358,Client,final_uav_2,nan,nan,1,13869.95,6.19,189.31,129.68,0.0,129.68,0.52,nan
2023/05/31 15:33:02.589,Client,final_uav_2,nan,nan,2,14069.02,5.72,226.3,133.09,0.0,133.09,0.52,nan
2023/05/31 15:33:02.819,Client,final_uav_2,nan,nan,3,14249.99,5.29,226.16,131.91,0.0,131.91,1.0,nan
2023/05/31 15:33:03.049,Client,final_uav_2,nan,nan,4,14086.73,4.52,227.76,129.64,0.0,129.64,0.0,nan
2023/05/31 15:33:03.280,Client,final_uav_2,nan,nan,5,14288.39,4.64,227.12,130.47,0.0,130.47,1.0,nan
2023/05/31 15:33:03.521,Client,final_uav_2,nan,nan,6,14153.32,15.6,237.97,80.58,0.0,80.58,1.0,nan
2023/05/31 15:33:03.743,Client,final_uav_2,nan,nan,7,14320.82,5.63,216.79,130.76,0.0,130.76,1.07,nan
2023/05/31 15:33:03.973,Client,final_uav_2,nan,nan,8,14071.14,5.52,226.08,132.84,0.0,132.84,0.58,nan
2023/05/31 15:33:04.213,Client,final_uav_2,nan,nan,9,13858.94,7.24,234.49,130.55,0.0,130.55,1.0,nan
2023/05/31 15:33:04.437,Client,final_uav_2,nan,nan,10,14066.4,8.44,219.54,130.03,0.0,130.03,0.52,nan
2023/05/31 15:33:04.668,Client,final_uav_2,nan,nan,11,14262.62,6.36,224.68,130.44,0.0,130.44,1.09,nan
2023/05/31 15:33:04.907,Client,final_uav_2,nan,nan,12,13853.14,17.6,236.17,130.18,0.0,130.18,0.96,nan
2023/05/31 15:33:05.276,Client,final_uav_2,nan,nan,13,14194.83,6.9,365.35,130.18,0.0,130.18,1.0,nan
2023/05/31 15:33:05.649,Client,final_uav_2,nan,nan,14,14016.83,4.37,368.46,121.61,0.0,121.61,1.0,nan
2023/05/31 15:33:06.024,Client,final_uav_2,nan,nan,15,14113.71,5.7,372.33,130.51,0.0,130.51,0.56,nan
2023/05/31 15:33:06.408,Client,final_uav_2,nan,nan,16,13797.76,12.99,380.21,107.94,0.0,107.94,0.52,nan
2023/05/31 15:33:06.776,Client,final_uav_2,nan,nan,17,13778.76,5.91,363.69,130.5,0.0,130.5,1.0,nan
2023/05/31 15:33:07.150,Client,final_uav_2,nan,nan,18,13554.93,5.35,369.88,90.56,0.5,90.56,0.0,nan
2023/05/31 15:33:07.523,Client,final_uav_2,nan,nan,19,13912.89,4.26,370.29,90.47,0.0,90.47,0.0,nan
2023/05/31 15:33:07.999,Client,final_uav_2,nan,nan,20,13001.3,102.94,470.1,129.95,0.0,129.95,0.56,nan
2023/05/31 15:33:08.336,Client,final_uav_2,nan,nan,21,13321.91,5.03,326.1,129.96,0.0,129.96,1.45,nan
2023/05/31 15:33:08.759,Client,final_uav_2,nan,nan,22,13032.95,5.11,420.85,129.09,0.0,129.09,0.0,nan
2023/05/31 15:33:09.196,Client,final_uav_2,nan,nan,23,13453.95,12.29,433.14,132.83,0.0,132.83,0.53,nan
2023/05/31 15:33:09.618,Client,final_uav_2,nan,nan,24,13825.98,6.16,419.7,131.07,0.0,131.07,0.51,nan
2023/05/31 15:33:10.048,Client,final_uav_2,nan,nan,25,12926.51,5.62,426.37,130.91,0.0,130.91,0.0,nan
2023/05/31 15:33:10.482,Client,final_uav_2,nan,nan,26,12737.13,13.56,429.93,133.24,0.0,133.24,0.0,nan
2023/05/31 15:33:10.910,Client,final_uav_2,nan,nan,27,13149.45,12.45,424.37,136.85,0.0,136.85,0.52,nan
2023/05/31 15:33:11.285,Client,final_uav_2,nan,nan,28,13343.5,7.32,370.66,134.19,0.0,134.19,1.06,nan
2023/05/31 15:33:11.671,Client,final_uav_2,nan,nan,29,13084.67,8.95,377.74,82.16,0.0,82.16,1.12,nan
2023/05/31 15:33:12.063,Client,final_uav_2,nan,nan,30,13021.5,34.94,387.01,131.46,0.0,131.46,0.0,nan
2023/05/31 15:33:12.410,Client,final_uav_2,nan,nan,31,12897.67,6.31,342.38,130.83,0.0,130.83,0.99,nan
2023/05/31 15:33:12.784,Client,final_uav_2,nan,nan,32,12820.93,6.36,369.35,130.93,0.0,130.93,0.0,nan
2023/05/31 15:33:13.157,Client,final_uav_2,nan,nan,33,13183.7,5.7,370.31,130.75,0.0,130.75,0.52,nan
2023/05/31 15:33:13.541,Client,final_uav_2,nan,nan,34,13017.29,13.51,378.87,130.75,0.0,130.75,0.53,nan
2023/05/31 15:33:13.909,Client,final_uav_2,nan,nan,35,13371.18,6.82,363.11,130.75,0.0,130.75,1.0,nan
2023/05/31 15:33:14.340,Client,final_uav_2,nan,nan,36,12759.19,5.62,426.79,81.36,0.0,81.36,1.0,nan
2023/05/31 15:33:14.786,Client,final_uav_2,nan,nan,37,13179.06,21.72,442.58,107.64,0.0,107.64,0.53,nan
2023/05/31 15:33:15.199,Client,final_uav_2,nan,nan,38,12954.56,4.93,407.58,130.89,0.0,130.89,1.0,nan
2023/05/31 15:33:15.626,Client,final_uav_2,nan,nan,39,12740.67,5.34,422.36,131.41,0.0,131.41,1.05,nan
2023/05/31 15:33:16.064,Client,final_uav_2,nan,nan,40,12837.57,13.57,432.62,133.86,0.0,133.86,1.0,nan
2023/05/31 15:33:16.486,Client,final_uav_2,nan,nan,41,13245.57,7.57,415.99,131.46,0.0,131.46,1.05,nan
2023/05/31 15:33:16.913,Client,final_uav_2,nan,nan,42,12893.8,5.81,421.94,133.62,0.0,133.62,0.0,nan
2023/05/31 15:33:17.375,Client,final_uav_2,nan,nan,43,13336.47,32.53,456.63,131.18,0.0,131.18,0.53,nan
2023/05/31 15:33:17.778,Client,final_uav_2,nan,nan,44,13142.78,7.22,398.45,122.11,0.0,122.11,1.0,nan
2023/05/31 15:33:18.210,Client,final_uav_2,nan,nan,45,12788.01,10.43,425.21,130.85,0.0,130.85,1.0,nan
2023/05/31 15:33:18.645,Client,final_uav_2,nan,nan,46,12619.33,18.71,430.49,130.94,0.0,130.94,1.09,nan
