time,battery_percentage
2023-05-31 08:32:42.734930,96
2023-05-31 08:32:43.735909,96
2023-05-31 08:32:44.762199,96
2023-05-31 08:32:45.764625,95
2023-05-31 08:32:46.765389,95
2023-05-31 08:32:47.766180,95
2023-05-31 08:32:48.766518,95
2023-05-31 08:32:49.767246,95
2023-05-31 08:32:50.768625,95
2023-05-31 08:32:51.770867,95
2023-05-31 08:32:52.772367,95
2023-05-31 08:32:53.773056,95
2023-05-31 08:32:54.773418,95
2023-05-31 08:32:55.774043,95
2023-05-31 08:32:56.775061,95
2023-05-31 08:32:57.776566,95
2023-05-31 08:32:58.777591,95
2023-05-31 08:32:59.779061,95
2023-05-31 08:33:00.780311,95
2023-05-31 08:33:01.781152,95
2023-05-31 08:33:02.781689,95
2023-05-31 08:33:03.782249,95
2023-05-31 08:33:04.782758,95
2023-05-31 08:33:05.783942,94
2023-05-31 08:33:06.785906,94
2023-05-31 08:33:07.787469,94
2023-05-31 08:33:08.789272,94
2023-05-31 08:33:09.790139,94
2023-05-31 08:33:10.790510,94
2023-05-31 08:33:11.791087,94
2023-05-31 08:33:12.792200,94
2023-05-31 08:33:13.795569,94
2023-05-31 08:33:14.796211,94
2023-05-31 08:33:15.797230,94
2023-05-31 08:33:16.798246,94
2023-05-31 08:33:17.798932,94
2023-05-31 08:33:18.799453,94
2023-05-31 08:33:19.799967,94
2023-05-31 08:33:20.800999,94
2023-05-31 08:33:21.802227,94
2023-05-31 08:33:22.802851,94
2023-05-31 08:33:23.806612,94
2023-05-31 08:33:24.807201,94
2023-05-31 08:33:25.808047,94
2023-05-31 08:33:26.808585,94
2023-05-31 08:33:27.809196,94
2023-05-31 08:33:28.809900,94
2023-05-31 08:33:29.810247,93
2023-05-31 08:33:30.811044,93
2023-05-31 08:33:31.812377,93
2023-05-31 08:33:32.813297,93
2023-05-31 08:33:33.814359,93
2023-05-31 08:33:34.816496,93
2023-05-31 08:33:35.817567,93
2023-05-31 08:33:36.818259,93
2023-05-31 08:33:37.819244,93
2023-05-31 08:33:38.820142,93
2023-05-31 08:33:39.823793,93
2023-05-31 08:33:40.825781,93
2023-05-31 08:33:41.829324,93
2023-05-31 08:33:42.830367,93
2023-05-31 08:33:43.831339,93
2023-05-31 08:33:44.832332,93
2023-05-31 08:33:45.833709,93
2023-05-31 08:33:46.834104,93
2023-05-31 08:33:47.834977,93
2023-05-31 08:33:48.836175,93
2023-05-31 08:33:49.837479,93
2023-05-31 08:33:50.838021,93
2023-05-31 08:33:51.838368,93
2023-05-31 08:33:52.838675,93
2023-05-31 08:33:53.839090,93
2023-05-31 08:33:54.839304,92
2023-05-31 08:33:55.839814,92
2023-05-31 08:33:56.840808,92
2023-05-31 08:33:57.843118,92
2023-05-31 08:33:58.844138,92
2023-05-31 08:33:59.845325,92
2023-05-31 08:34:00.846587,92
2023-05-31 08:34:01.847426,92
2023-05-31 08:34:02.849477,92
2023-05-31 08:34:03.850125,92
2023-05-31 08:34:04.850523,92
2023-05-31 08:34:05.850865,92
2023-05-31 08:34:06.851310,92
2023-05-31 08:34:07.852629,92
2023-05-31 08:34:08.853444,92
2023-05-31 08:34:09.853949,92
2023-05-31 08:34:10.854406,92
2023-05-31 08:34:11.855202,92
