asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 13:42:41.701,Client,final_uav_2,None,None,0,15151.24,10.16,151148.67,132.0,0.0,132.0,0.56,None
2023/05/31 13:42:41.893,Client,final_uav_2,nan,nan,1,15316.02,5.37,190.54,131.93,0.0,131.93,0.52,nan
2023/05/31 13:42:42.090,Client,final_uav_2,nan,nan,2,15493.87,2.22,195.26,131.78,0.0,131.78,0.0,nan
2023/05/31 13:42:42.286,Client,final_uav_2,nan,nan,3,15668.07,-0.59,196.19,87.3,0.0,87.3,0.0,nan
2023/05/31 13:42:42.485,Client,final_uav_2,nan,nan,4,15511.55,-1.84,198.75,131.23,0.0,131.23,0.0,nan
2023/05/31 13:42:42.694,Client,final_uav_2,nan,nan,5,15701.01,1.63,203.47,131.23,0.0,131.23,0.0,nan
2023/05/31 13:42:42.888,Client,final_uav_2,nan,nan,6,15799.2,0.81,193.53,131.92,0.0,131.92,0.0,nan
2023/05/31 13:42:43.093,Client,final_uav_2,nan,nan,7,15786.75,6.82,205.01,132.25,0.0,132.25,0.0,nan
2023/05/31 13:42:43.286,Client,final_uav_2,nan,nan,8,15634.75,-1.12,193.06,132.56,0.0,132.56,0.0,nan
2023/05/31 13:42:43.493,Client,final_uav_2,nan,nan,9,15527.51,-10.2,190.91,131.51,0.0,131.51,15.64,nan
2023/05/31 13:42:43.684,Client,final_uav_2,nan,nan,10,15734.5,-2.22,191.35,131.51,0.0,131.51,0.0,nan
2023/05/31 13:42:43.884,Client,final_uav_2,nan,nan,11,15908.19,-3.33,199.89,131.51,0.0,131.51,0.0,nan
2023/05/31 13:42:44.087,Client,final_uav_2,nan,nan,12,15697.69,0.68,203.02,86.09,0.0,86.09,0.0,nan
2023/05/31 13:42:44.294,Client,final_uav_2,nan,nan,13,15888.6,6.24,206.56,86.09,0.0,86.09,0.0,nan
2023/05/31 13:42:44.498,Client,final_uav_2,nan,nan,14,15712.92,6.28,199.97,131.89,0.0,131.89,0.53,nan
2023/05/31 13:42:44.679,Client,final_uav_2,nan,nan,15,15897.26,-7.37,180.5,132.04,0.0,132.04,0.0,nan
2023/05/31 13:42:44.893,Client,final_uav_2,nan,nan,16,15670.16,4.77,211.62,131.79,0.0,131.79,0.52,nan
2023/05/31 13:42:45.082,Client,final_uav_2,nan,nan,17,15845.56,-5.21,188.83,131.79,0.0,131.79,0.0,nan
2023/05/31 13:42:45.281,Client,final_uav_2,nan,nan,18,15887.35,-6.32,198.89,85.52,0.0,85.52,0.0,nan
2023/05/31 13:42:45.492,Client,final_uav_2,nan,nan,19,15973.27,4.52,210.84,131.6,0.0,131.6,0.0,nan
2023/05/31 13:42:47.496,Client,final_uav_2,nan,nan,20,17773.65,6.92,2004.4,131.97,0.0,131.97,0.0,nan
2023/05/31 13:42:49.501,Client,final_uav_2,nan,nan,21,19432.35,10.31,2002.33,131.68,0.0,131.68,0.53,nan
2023/05/31 13:42:57.512,Client,final_uav_2,nan,nan,22,27426.6,12.19,8006.7,131.57,0.0,131.57,0.53,nan
2023/05/31 13:42:59.506,Client,final_uav_2,nan,nan,23,28700.18,6.03,1992.14,132.63,0.0,132.63,0.0,nan
2023/05/31 13:43:01.498,Client,final_uav_2,nan,nan,24,24733.91,-1.96,1992.02,159.68,0.0,159.68,0.0,nan
2023/05/31 13:43:05.517,Client,final_uav_2,nan,nan,25,28720.35,12.77,4016.15,159.68,0.0,159.68,0.53,nan
2023/05/31 13:43:05.522,Client,final_uav_1,nan,nan,0,15345.97,16.56,0.52,118.88,0.0,118.88,1.04,nan
