asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/31 13:42:36.215,LocalForwarder2,result,result,2,302,9630.46,181.41,151171.5,0.32,0.01,0.32,5.72,2
2023/05/31 13:42:36.354,LocalForwarder2,result,result,5,303,9377.02,171.68,140.44,0.32,0.01,0.32,3.01,4
2023/05/31 13:42:36.585,LocalForwarder2,result,result,6,304,9593.07,171.75,228.16,0.32,0.01,0.32,3.47,5
2023/05/31 13:42:37.280,LocalForwarder2,result,result,10,305,9317.06,171.4,684.57,0.32,0.01,0.32,11.37,8
2023/05/31 13:42:37.621,LocalForwarder2,result,result,11,306,9667.02,179.38,348.2,0.32,0.01,0.32,3.26,10
2023/05/31 13:42:37.982,LocalForwarder2,result,result,12,307,10001.63,171.17,358.99,0.32,0.01,0.32,3.16,12
2023/05/31 13:42:38.201,LocalForwarder2,result,result,15,308,9414.28,171.71,216.79,0.32,0.01,0.32,3.16,14
2023/05/31 13:42:38.577,LocalForwarder2,result,result,17,309,9347.35,171.02,370.57,0.32,0.01,0.32,6.99,15
2023/05/31 13:42:38.923,LocalForwarder2,result,result,18,310,9681.45,177.74,347.71,0.32,0.01,0.32,3.32,17
2023/05/31 13:42:39.663,LocalForwarder2,result,result,20,311,10139.59,172.89,738.23,0.32,0.01,0.32,3.18,19
2023/05/31 13:42:43.009,LocalForwarder2,result,result,21,312,13278.66,176.99,3341.27,0.32,0.01,0.32,6.74,20
2023/05/31 13:42:49.653,LocalForwarder2,result,result,23,313,19561.6,177.24,6641.43,0.32,0.01,0.32,7.19,22
2023/05/31 13:42:56.890,LocalForwarder2,result,result,2,314,6707.67,171.81,7234.64,0.32,0.01,0.32,7.23,23
2023/05/31 13:42:57.070,LocalForwarder2,result,result,26,315,20301.7,171.9,182.28,0.32,0.01,0.32,3.43,25
2023/05/31 13:42:57.757,LocalForwarder2,result,result,27,316,20957.97,170.46,685.85,0.32,0.01,0.32,3.06,26
2023/05/31 13:43:05.523,LocalForwarder2,result,result,5,317,3118.38,178.74,7755.89,0.32,0.02,0.32,10.17,28
2023/05/31 13:43:07.754,LocalForwarder2,result,result,6,318,5340.35,177.58,2231.82,0.32,0.01,0.32,6.54,29
2023/05/31 13:43:21.562,LocalForwarder2,result,result,10,319,3275.85,173.11,13806.73,0.32,0.01,0.32,6.55,35
2023/05/31 13:43:24.226,LocalForwarder2,result,result,11,320,5917.42,178.18,2665.21,0.32,0.01,0.32,3.05,40
2023/05/31 13:43:25.536,LocalForwarder2,result,result,34,321,10175.43,178.37,1302.35,0.32,0.01,0.32,8.94,41
2023/05/31 13:43:28.078,LocalForwarder2,result,result,12,322,9758.5,177.28,2546.0,0.32,0.01,0.32,3.19,43
2023/05/31 13:43:29.223,LocalForwarder2,result,result,36,323,10963.34,170.62,1142.52,0.32,0.01,0.32,3.5,45
2023/05/31 13:43:29.849,LocalForwarder2,result,result,37,324,11590.1,177.38,625.0,0.32,0.01,0.32,3.16,47
2023/05/31 13:43:30.141,LocalForwarder2,result,result,38,325,11846.01,170.96,285.65,0.32,0.01,0.32,6.93,48
2023/05/31 13:43:30.860,LocalForwarder2,result,result,15,326,1539.42,170.98,721.27,0.32,0.01,0.32,3.13,50
2023/05/31 13:43:31.317,LocalForwarder2,result,result,41,327,9510.7,176.71,455.99,0.32,0.01,0.32,2.81,53
2023/05/31 13:43:31.982,LocalForwarder2,result,result,42,328,10156.01,171.67,659.22,0.32,0.01,0.32,6.17,54
