asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/25 09:51:58.495,MergerProducer,None,None,None,-1,-1,5000.48,5000.48,0.06,0.03,0.06,0.03,None
2023/06/25 09:52:03.499,MergerProducer,None,nan,nan,-1,-1,5000.34,5000.34,0.06,0.01,0.06,0.01,nan
2023/06/25 09:52:08.503,MergerProducer,None,nan,nan,-1,-1,5001.09,5001.09,0.06,0.01,0.06,0.01,nan
2023/06/25 09:52:13.508,MergerProducer,None,nan,nan,-1,-1,5001.91,5001.91,0.06,0.01,0.06,0.01,nan
2023/06/25 09:52:18.511,MergerProducer,None,nan,nan,-1,-1,5000.75,5000.75,0.06,0.01,0.06,0.01,nan
2023/06/25 09:52:23.516,MergerProducer,None,nan,nan,-1,-1,5002.0,5002.0,0.06,0.03,0.06,0.02,nan
2023/06/25 09:52:28.521,MergerProducer,None,nan,nan,-1,-1,5001.31,5001.31,0.06,0.01,0.06,0.01,nan
2023/06/25 09:52:33.526,MergerProducer,None,nan,nan,-1,-1,5001.32,5001.32,0.06,0.01,0.06,0.01,nan
2023/06/25 09:52:38.530,MergerProducer,None,nan,nan,-1,-1,5000.86,5000.86,0.06,0.01,0.06,0.01,nan
2023/06/25 09:52:43.535,MergerProducer,None,nan,nan,-1,-1,5000.5,5000.5,0.06,0.02,0.06,0.02,nan
2023/06/25 09:52:48.540,MergerProducer,None,nan,nan,-1,-1,5001.0,5001.0,0.06,0.01,0.06,0.02,nan
2023/06/25 09:52:53.554,MergerProducer,None,nan,nan,-1,-1,5000.44,5000.44,0.06,0.01,0.06,0.01,nan
2023/06/25 09:52:58.559,MergerProducer,None,nan,nan,-1,-1,5001.5,5001.5,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:03.562,MergerProducer,None,nan,nan,-1,-1,5000.35,5000.35,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:08.566,MergerProducer,None,nan,nan,-1,-1,5001.13,5001.13,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:13.570,MergerProducer,None,nan,nan,-1,-1,5001.17,5001.17,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:18.573,MergerProducer,None,nan,nan,-1,-1,5001.03,5001.03,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:23.577,MergerProducer,None,nan,nan,-1,-1,5001.01,5001.01,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:28.581,MergerProducer,None,nan,nan,-1,-1,5000.97,5000.97,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:33.586,MergerProducer,None,nan,nan,-1,-1,5000.95,5000.95,0.06,0.02,0.06,0.02,nan
2023/06/25 09:53:38.591,MergerProducer,None,nan,nan,-1,-1,5002.3,5002.3,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:43.595,MergerProducer,None,nan,nan,-1,-1,5000.76,5000.76,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:48.600,MergerProducer,None,nan,nan,-1,-1,5001.43,5001.43,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:53.603,MergerProducer,None,nan,nan,-1,-1,5000.68,5000.68,0.06,0.01,0.06,0.01,nan
2023/06/25 09:53:58.607,MergerProducer,None,nan,nan,-1,-1,5001.07,5001.07,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:03.612,MergerProducer,None,nan,nan,-1,-1,5001.04,5001.04,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:08.615,MergerProducer,None,nan,nan,-1,-1,5000.38,5000.38,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:13.619,MergerProducer,None,nan,nan,-1,-1,5001.15,5001.15,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:18.622,MergerProducer,None,nan,nan,-1,-1,5000.48,5000.48,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:23.626,MergerProducer,None,nan,nan,-1,-1,5000.76,5000.76,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:28.630,MergerProducer,None,nan,nan,-1,-1,5000.82,5000.82,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:33.633,MergerProducer,None,nan,nan,-1,-1,5000.61,5000.61,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:38.636,MergerProducer,None,nan,nan,-1,-1,5000.47,5000.47,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:43.640,MergerProducer,None,nan,nan,-1,-1,5001.0,5001.0,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:48.645,MergerProducer,None,nan,nan,-1,-1,5001.33,5001.33,0.06,0.02,0.06,0.01,nan
2023/06/25 09:54:53.649,MergerProducer,None,nan,nan,-1,-1,5000.83,5000.83,0.06,0.01,0.06,0.01,nan
2023/06/25 09:54:58.654,MergerProducer,None,nan,nan,-1,-1,5001.35,5001.35,0.06,0.01,0.06,0.01,nan
2023/06/25 09:55:03.659,MergerProducer,None,nan,nan,-1,-1,5001.09,5001.09,0.06,0.01,0.06,0.01,nan
2023/06/25 09:55:08.662,MergerProducer,None,nan,nan,-1,-1,5000.31,5000.31,0.06,0.01,0.06,0.01,nan
2023/06/25 09:55:13.667,MergerProducer,None,nan,nan,-1,-1,5001.31,5001.31,0.06,0.01,0.06,0.01,nan
2023/06/25 09:55:18.670,MergerProducer,None,nan,nan,-1,-1,5000.71,5000.71,0.06,0.01,0.06,0.01,nan
2023/06/25 09:55:23.674,MergerProducer,None,nan,nan,-1,-1,5001.13,5001.13,0.06,0.01,0.06,0.01,nan
2023/06/25 09:55:28.679,MergerProducer,None,nan,nan,-1,-1,5001.1,5001.1,0.06,0.01,0.06,0.01,nan
2023/06/25 09:55:33.686,MergerProducer,None,nan,nan,-1,-1,5004.96,5004.96,0.23,0.09,0.06,0.01,nan
2023/06/25 09:55:38.692,MergerProducer,None,nan,nan,-1,-1,5000.5,5000.5,0.23,0.38,0.23,1.41,nan
2023/06/25 09:55:38.763,MergerProducer,nan,final_uav_1,1,nan,nan,nan,nan,nan,nan,nan,71.85,0
2023/06/25 09:55:38.776,MergerProducer,nan,final_uav_1,2,nan,nan,nan,nan,nan,nan,nan,84.92,1
2023/06/25 09:55:38.814,MergerProducer,nan,final_uav_1,7,nan,nan,nan,nan,nan,nan,nan,123.55,2
2023/06/25 09:55:38.862,MergerProducer,nan,final_uav_1,8,nan,nan,nan,nan,nan,nan,nan,170.57,3
2023/06/25 09:55:38.892,MergerProducer,nan,final_uav_1,13,nan,nan,nan,nan,nan,nan,nan,201.56,4
2023/06/25 09:55:38.932,MergerProducer,nan,final_uav_1,14,nan,nan,nan,nan,nan,nan,nan,241.2,5
2023/06/25 09:55:38.987,MergerProducer,nan,final_uav_1,16,nan,nan,nan,nan,nan,nan,nan,296.33,6
2023/06/25 09:55:39.013,MergerProducer,nan,final_uav_1,19,nan,nan,nan,nan,nan,nan,nan,320.46,7
2023/06/25 09:55:39.063,MergerProducer,nan,final_uav_1,24,nan,nan,nan,nan,nan,nan,nan,371.39,8
2023/06/25 09:55:39.094,MergerProducer,nan,final_uav_1,25,nan,nan,nan,nan,nan,nan,nan,401.74,9
2023/06/25 09:55:39.131,MergerProducer,nan,final_uav_1,27,nan,nan,nan,nan,nan,nan,nan,439.96,10
2023/06/25 09:55:39.169,MergerProducer,nan,final_uav_1,28,nan,nan,nan,nan,nan,nan,nan,478.46,11
2023/06/25 09:55:39.209,MergerProducer,nan,final_uav_1,30,nan,nan,nan,nan,nan,nan,nan,518.02,12
2023/06/25 09:55:39.249,MergerProducer,nan,final_uav_1,31,nan,nan,nan,nan,nan,nan,nan,557.99,13
2023/06/25 09:55:39.288,MergerProducer,nan,final_uav_1,32,nan,nan,nan,nan,nan,nan,nan,596.21,14
2023/06/25 09:55:39.338,MergerProducer,nan,final_uav_1,34,nan,nan,nan,nan,nan,nan,nan,645.94,15
2023/06/25 09:55:39.367,MergerProducer,nan,final_uav_1,35,nan,nan,nan,nan,nan,nan,nan,676.16,16
2023/06/25 09:55:39.407,MergerProducer,nan,final_uav_1,36,nan,nan,nan,nan,nan,nan,nan,716.47,17
2023/06/25 09:55:39.444,MergerProducer,nan,final_uav_1,37,nan,nan,nan,nan,nan,nan,nan,753.61,18
2023/06/25 09:55:39.486,MergerProducer,nan,final_uav_1,38,nan,nan,nan,nan,nan,nan,nan,794.4,19
2023/06/25 09:55:39.540,MergerProducer,nan,final_uav_1,39,nan,nan,nan,nan,nan,nan,nan,848.83,20
2023/06/25 09:55:39.563,MergerProducer,nan,final_uav_1,40,nan,nan,nan,nan,nan,nan,nan,872.19,21
2023/06/25 09:55:39.601,MergerProducer,nan,final_uav_1,41,nan,nan,nan,nan,nan,nan,nan,910.43,22
2023/06/25 09:55:39.642,MergerProducer,nan,final_uav_1,42,nan,nan,nan,nan,nan,nan,nan,950.15,23
2023/06/25 09:55:39.683,MergerProducer,nan,final_uav_1,43,nan,nan,nan,nan,nan,nan,nan,992.08,24
2023/06/25 09:55:39.721,MergerProducer,nan,final_uav_1,44,nan,nan,nan,nan,nan,nan,nan,1029.8,25
2023/06/25 09:55:39.759,MergerProducer,nan,final_uav_1,45,nan,nan,nan,nan,nan,nan,nan,1068.35,26
2023/06/25 09:55:39.801,MergerProducer,nan,final_uav_1,47,nan,nan,nan,nan,nan,nan,nan,1109.7,27
2023/06/25 09:55:39.838,MergerProducer,nan,final_uav_1,48,nan,nan,nan,nan,nan,nan,nan,1147.54,28
2023/06/25 09:55:39.882,MergerProducer,nan,final_uav_1,49,nan,nan,nan,nan,nan,nan,nan,1190.64,29
2023/06/25 09:55:39.931,MergerProducer,nan,final_uav_1,50,nan,nan,nan,nan,nan,nan,nan,1239.51,30
2023/06/25 09:55:39.965,MergerProducer,nan,final_uav_1,51,nan,nan,nan,nan,nan,nan,nan,1274.11,31
2023/06/25 09:55:40.000,MergerProducer,nan,final_uav_1,52,nan,nan,nan,nan,nan,nan,nan,1306.07,32
2023/06/25 09:55:40.036,MergerProducer,nan,final_uav_1,53,nan,nan,nan,nan,nan,nan,nan,1345.05,33
2023/06/25 09:55:40.074,MergerProducer,nan,final_uav_1,54,nan,nan,nan,nan,nan,nan,nan,1383.05,34
2023/06/25 09:55:40.115,MergerProducer,nan,final_uav_1,55,nan,nan,nan,nan,nan,nan,nan,1423.38,35
2023/06/25 09:55:40.155,MergerProducer,nan,final_uav_1,56,nan,nan,nan,nan,nan,nan,nan,1464.06,36
2023/06/25 09:55:40.194,MergerProducer,nan,final_uav_1,57,nan,nan,nan,nan,nan,nan,nan,1503.27,37
2023/06/25 09:55:40.232,MergerProducer,nan,final_uav_1,58,nan,nan,nan,nan,nan,nan,nan,1541.81,38
2023/06/25 09:55:40.272,MergerProducer,nan,final_uav_1,60,nan,nan,nan,nan,nan,nan,nan,1581.76,39
2023/06/25 09:55:40.313,MergerProducer,nan,final_uav_1,61,nan,nan,nan,nan,nan,nan,nan,1622.0,40
2023/06/25 09:55:40.351,MergerProducer,nan,final_uav_1,62,nan,nan,nan,nan,nan,nan,nan,1660.39,41
2023/06/25 09:55:40.391,MergerProducer,nan,final_uav_1,63,nan,nan,nan,nan,nan,nan,nan,1700.01,42
2023/06/25 09:55:40.428,MergerProducer,nan,final_uav_1,64,nan,nan,nan,nan,nan,nan,nan,1737.79,43
