asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/06/26 01:01:36.596,MergerSorterProducer,None,None,None,-1,-1,5000.5,5000.5,0.06,0.02,0.06,0.02,None
2023/06/26 01:01:41.599,MergerSorterProducer,None,nan,nan,-1,-1,5000.77,5000.77,0.06,0.01,0.06,0.01,nan
2023/06/26 01:01:46.607,MergerSorterProducer,None,nan,nan,-1,-1,5002.87,5002.87,0.06,0.02,0.06,0.01,nan
2023/06/26 01:01:51.615,MergerSorterProducer,None,nan,nan,-1,-1,5000.97,5000.97,0.06,0.01,0.06,0.01,nan
2023/06/26 01:01:56.618,MergerSorterProducer,None,nan,nan,-1,-1,5000.53,5000.53,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:01.621,MergerSorterProducer,None,nan,nan,-1,-1,5000.68,5000.68,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:06.625,MergerSorterProducer,None,nan,nan,-1,-1,5000.54,5000.54,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:11.629,MergerSorterProducer,None,nan,nan,-1,-1,5001.49,5001.49,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:16.632,MergerSorterProducer,None,nan,nan,-1,-1,5000.96,5000.96,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:21.635,MergerSorterProducer,None,nan,nan,-1,-1,4999.9,4999.9,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:26.638,MergerSorterProducer,None,nan,nan,-1,-1,5000.79,5000.79,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:31.643,MergerSorterProducer,None,nan,nan,-1,-1,5001.19,5001.19,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:36.647,MergerSorterProducer,None,nan,nan,-1,-1,5001.27,5001.27,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:41.651,MergerSorterProducer,None,nan,nan,-1,-1,5001.04,5001.04,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:46.654,MergerSorterProducer,None,nan,nan,-1,-1,5000.7,5000.7,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:51.658,MergerSorterProducer,None,nan,nan,-1,-1,5000.71,5000.71,0.06,0.01,0.06,0.01,nan
2023/06/26 01:02:56.661,MergerSorterProducer,None,nan,nan,-1,-1,5000.74,5000.74,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:01.665,MergerSorterProducer,None,nan,nan,-1,-1,5000.64,5000.64,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:06.668,MergerSorterProducer,None,nan,nan,-1,-1,5000.77,5000.77,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:11.672,MergerSorterProducer,None,nan,nan,-1,-1,5000.61,5000.61,0.06,0.01,0.06,0.02,nan
2023/06/26 01:03:16.675,MergerSorterProducer,None,nan,nan,-1,-1,5000.71,5000.71,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:21.678,MergerSorterProducer,None,nan,nan,-1,-1,5000.3,5000.3,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:26.681,MergerSorterProducer,None,nan,nan,-1,-1,5000.85,5000.85,0.06,0.02,0.06,0.01,nan
2023/06/26 01:03:31.686,MergerSorterProducer,None,nan,nan,-1,-1,5002.36,5002.36,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:36.690,MergerSorterProducer,None,nan,nan,-1,-1,5001.39,5001.39,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:41.694,MergerSorterProducer,None,nan,nan,-1,-1,5001.31,5001.31,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:46.699,MergerSorterProducer,None,nan,nan,-1,-1,5002.1,5002.1,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:51.703,MergerSorterProducer,None,nan,nan,-1,-1,5000.63,5000.63,0.06,0.01,0.06,0.01,nan
2023/06/26 01:03:56.706,MergerSorterProducer,None,nan,nan,-1,-1,5000.47,5000.47,0.06,0.01,0.06,0.01,nan
2023/06/26 01:04:01.709,MergerSorterProducer,None,nan,nan,-1,-1,5000.38,5000.38,0.06,0.01,0.06,0.01,nan
2023/06/26 01:04:06.713,MergerSorterProducer,None,nan,nan,-1,-1,5000.96,5000.96,0.06,0.01,0.06,0.01,nan
2023/06/26 01:04:11.717,MergerSorterProducer,None,nan,nan,-1,-1,5001.0,5001.0,0.23,0.07,0.06,0.01,nan
2023/06/26 01:04:16.722,MergerSorterProducer,None,nan,nan,-1,-1,5000.5,5000.5,0.23,0.29,0.23,1.41,nan
2023/06/26 01:04:16.766,MergerSorterProducer,nan,final_uav_1,1,nan,nan,nan,nan,nan,nan,nan,44.23,0
2023/06/26 01:04:16.798,MergerSorterProducer,nan,final_uav_1,2,nan,nan,nan,nan,nan,nan,nan,77.3,1
