asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/18 12:51:05.137,FrameProducer,None,input,1,-1,-1,4773.9,4740.41,921.74,0.0,921.76,448.33,26402
2023/05/18 12:51:05.208,FrameProducer,None,input,2,-1,-1,69.0,37.0,921.74,1.01,921.76,431.12,27053
2023/05/18 12:51:05.278,FrameProducer,None,input,3,-1,-1,19.0,21.03,921.74,0.0,921.76,467.91,26403
2023/05/18 12:51:05.313,FrameProducer,None,input,5,-1,-1,0.0,10.0,921.74,0.0,921.76,113.57,27054
2023/05/18 12:51:05.364,FrameProducer,None,input,4,-1,-1,21.9,20.01,921.74,0.0,921.76,517.99,26404
2023/05/18 12:51:05.395,FrameProducer,None,input,6,-1,-1,20.5,30.79,921.74,0.0,921.76,158.35,27055
2023/05/18 12:51:05.481,FrameProducer,None,input,7,-1,-1,21.3,28.81,921.74,0.0,921.76,209.0,26405
2023/05/18 12:51:05.558,FrameProducer,None,input,8,-1,-1,25.52,27.5,921.74,1.0,921.76,250.15,26406
2023/05/18 12:51:05.580,FrameProducer,None,input,10,-1,-1,0.0,3.0,921.74,0.0,921.76,79.84,27056
2023/05/18 12:51:05.642,FrameProducer,None,input,9,-1,-1,0.52,17.0,921.74,0.0,921.76,222.39,26407
2023/05/18 12:51:05.674,FrameProducer,None,input,11,-1,-1,6.51,11.09,921.74,0.0,921.76,161.5,27057
2023/05/18 12:51:05.726,FrameProducer,None,input,13,-1,-1,0.0,4.52,921.74,0.0,921.76,118.04,26408
2023/05/18 12:51:05.758,FrameProducer,None,input,12,-1,-1,13.65,9.65,921.74,0.0,921.76,228.22,27058
2023/05/18 12:51:05.806,FrameProducer,None,input,14,-1,-1,8.51,6.53,921.74,0.0,921.76,186.36,26409
2023/05/18 12:51:05.843,FrameProducer,None,input,15,-1,-1,0.0,4.0,921.74,0.0,921.76,178.13,27059
2023/05/18 12:51:05.905,FrameProducer,None,input,16,-1,-1,0.0,3.01,921.74,0.0,921.76,208.73,26410
2023/05/18 12:51:05.970,FrameProducer,None,input,17,-1,-1,0.0,3.52,921.74,0.0,921.76,210.5,27060
2023/05/18 12:51:06.011,FrameProducer,None,input,19,-1,-1,0.0,7.19,921.74,0.0,921.76,116.71,26411
2023/05/18 12:51:06.030,FrameProducer,None,input,18,-1,-1,0.0,5.33,921.74,0.0,921.76,240.93,27061
2023/05/18 12:51:06.110,FrameProducer,None,input,22,-1,-1,0.0,4.0,921.74,0.0,921.76,58.34,26412
2023/05/18 12:51:06.122,FrameProducer,None,input,20,-1,-1,25.69,26.57,921.74,0.0,921.76,191.38,27062
2023/05/18 12:51:06.202,FrameProducer,None,input,21,-1,-1,0.0,8.53,921.74,0.0,921.76,191.54,27063
2023/05/18 12:51:06.237,FrameProducer,None,input,24,-1,-1,0.0,3.03,921.74,0.0,921.76,84.45,26413
2023/05/18 12:51:06.240,FrameProducer,None,input,23,-1,-1,8.01,12.85,921.74,0.0,921.76,172.85,27064
2023/05/18 12:51:06.290,FrameProducer,None,input,25,-1,-1,6.59,8.52,921.74,0.0,921.76,126.26,26414
2023/05/18 12:51:06.302,FrameProducer,None,input,26,-1,-1,11.89,7.54,921.74,0.0,921.76,116.69,27065
2023/05/18 12:51:06.337,FrameProducer,None,input,28,-1,-1,0.0,9.11,921.74,0.0,921.76,64.06,26415
2023/05/18 12:51:06.375,FrameProducer,None,input,29,-1,-1,9.6,10.81,921.74,1.01,921.76,86.76,26416
2023/05/18 12:51:06.386,FrameProducer,None,input,27,-1,-1,0.0,2.8,921.74,0.0,921.76,164.75,27066
2023/05/18 12:51:06.416,FrameProducer,None,input,30,-1,-1,0.0,8.9,921.74,0.0,921.76,97.0,26417
2023/05/18 12:51:06.459,FrameProducer,None,input,31,-1,-1,0.0,5.0,921.74,0.0,921.76,91.77,26418
2023/05/18 12:51:06.515,FrameProducer,None,input,34,-1,-1,0.0,4.55,921.74,0.0,921.76,35.84,27067
2023/05/18 12:51:06.544,FrameProducer,None,input,32,-1,-1,0.0,6.52,921.74,0.0,921.76,138.09,26419
2023/05/18 12:51:06.612,FrameProducer,None,input,33,-1,-1,0.0,2.57,921.74,0.0,921.76,164.82,26420
2023/05/18 12:51:06.638,FrameProducer,None,input,36,-1,-1,0.0,3.9,921.74,0.0,921.76,68.21,27068
2023/05/18 12:51:06.698,FrameProducer,None,input,37,-1,-1,8.11,18.06,921.74,0.0,921.76,114.58,27069
2023/05/18 12:51:06.725,FrameProducer,None,input,35,-1,-1,8.51,12.03,921.74,0.0,921.76,233.53,26421
2023/05/18 12:51:06.821,FrameProducer,None,input,38,-1,-1,0.0,5.02,921.74,0.0,921.76,208.68,27070
2023/05/18 12:51:06.829,FrameProducer,None,input,39,-1,-1,0.0,2.15,921.74,0.0,921.76,158.34,26422
2023/05/18 12:51:06.947,FrameProducer,None,input,41,-1,-1,0.0,5.64,921.74,0.0,921.76,180.81,27071
2023/05/18 12:51:06.953,FrameProducer,None,input,40,-1,-1,8.51,10.1,921.74,0.0,921.76,265.69,26423
2023/05/18 12:51:07.065,FrameProducer,None,input,44,-1,-1,0.0,14.54,921.74,0.0,921.76,71.72,26424
2023/05/18 12:51:07.095,FrameProducer,None,input,42,-1,-1,15.6,26.67,921.74,0.0,921.76,294.39,27072
2023/05/18 12:51:07.179,FrameProducer,None,input,43,-1,-1,0.0,17.09,921.74,0.0,921.76,287.46,27073
2023/05/18 12:51:07.251,FrameProducer,None,input,45,-1,-1,11.97,25.05,921.74,0.0,921.76,233.92,27074
2023/05/18 12:51:07.262,FrameProducer,None,input,46,-1,-1,0.0,11.6,921.74,0.0,921.76,125.08,26425
2023/05/18 12:51:07.370,FrameProducer,None,input,47,-1,-1,13.03,25.94,921.74,0.0,921.76,209.13,27075
2023/05/18 12:51:07.457,FrameProducer,None,input,48,-1,-1,0.0,7.0,921.74,0.0,921.76,232.65,27076
2023/05/18 12:51:07.484,FrameProducer,None,input,50,-1,-1,0.0,5.03,921.74,0.0,921.76,81.14,26426
2023/05/18 12:51:07.521,FrameProducer,None,input,49,-1,-1,0.0,18.13,921.74,0.0,921.76,225.9,27077
2023/05/18 12:51:07.582,FrameProducer,None,input,51,-1,-1,10.82,20.37,921.74,0.0,921.76,161.13,27078
2023/05/18 12:51:07.608,FrameProducer,None,input,53,-1,-1,0.0,10.51,921.74,1.0,921.76,57.93,26427
2023/05/18 12:51:07.666,FrameProducer,None,input,52,-1,-1,0.0,10.17,921.74,0.0,921.76,171.05,27079
2023/05/18 12:51:07.747,FrameProducer,None,input,54,-1,-1,10.05,18.64,921.74,1.0,921.76,179.39,27080
2023/05/18 12:51:07.802,FrameProducer,None,input,55,-1,-1,0.0,4.17,921.74,0.0,921.76,194.98,27081
2023/05/18 12:51:07.850,FrameProducer,None,input,56,-1,-1,0.0,2.0,921.74,0.0,921.76,159.32,27082
2023/05/18 12:51:07.875,FrameProducer,None,input,57,-1,-1,0.0,3.6,921.74,0.0,921.76,99.7,26428
2023/05/18 12:51:07.917,FrameProducer,None,input,59,-1,-1,0.0,5.0,921.74,0.0,921.76,94.17,26429
2023/05/18 12:51:07.943,FrameProducer,None,input,58,-1,-1,8.4,6.52,921.74,0.0,921.76,156.76,27083
2023/05/18 12:51:07.981,FrameProducer,None,input,61,-1,-1,0.0,4.87,921.74,0.0,921.76,82.47,27084
2023/05/18 12:51:08.013,FrameProducer,None,input,60,-1,-1,9.44,11.59,921.74,0.0,921.76,175.19,26430
2023/05/18 12:51:08.035,FrameProducer,None,input,62,-1,-1,7.53,15.37,921.74,0.0,921.76,124.23,27085
2023/05/18 12:51:08.096,FrameProducer,None,input,64,-1,-1,0.0,4.01,921.74,0.0,921.76,84.71,26431
2023/05/18 12:51:08.139,FrameProducer,None,input,63,-1,-1,0.0,2.52,921.74,0.0,921.76,174.77,27086
2023/05/18 12:51:08.176,FrameProducer,None,input,65,-1,-1,11.52,10.03,921.74,0.0,921.76,149.06,26432
2023/05/18 12:51:08.178,FrameProducer,None,input,67,-1,-1,0.0,2.99,921.74,0.0,921.76,61.46,27087
2023/05/18 12:51:08.265,FrameProducer,None,input,66,-1,-1,17.08,13.52,921.74,1.0,921.76,217.41,26433
2023/05/18 12:51:08.268,FrameProducer,None,input,68,-1,-1,8.5,13.17,921.74,0.0,921.76,138.63,27088
2023/05/18 12:51:08.313,FrameProducer,None,input,69,-1,-1,0.0,4.0,921.74,0.0,921.76,152.86,27089
