asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/12 09:13:31.401,MyProducer,None,input,1,-1,-1,4589.43,4645.74,921.74,0.0,921.76,266.57,7826
2023/05/12 09:13:31.503,MyProducer,None,input,2,-1,-1,60.13,31.31,921.74,0.0,921.76,295.26,7827
2023/05/12 09:13:31.579,MyProducer,None,input,3,-1,-1,15.34,14.36,921.74,0.0,921.76,347.54,7828
2023/05/12 09:13:31.660,MyProducer,None,input,4,-1,-1,0.0,6.34,921.74,0.0,921.76,234.45,7829
2023/05/12 09:13:31.785,MyProducer,None,input,5,-1,-1,0.0,5.15,921.74,0.0,921.76,252.28,7830
2023/05/12 09:13:31.871,MyProducer,None,input,6,-1,-1,0.0,5.0,921.74,0.0,921.76,247.01,7831
2023/05/12 09:13:31.959,MyProducer,None,input,7,-1,-1,0.0,8.01,921.74,0.0,921.76,256.25,7832
2023/05/12 09:13:32.069,MyProducer,None,input,8,-1,-1,0.0,8.3,921.74,0.0,921.76,239.02,7833
2023/05/12 09:13:32.186,MyProducer,None,input,9,-1,-1,0.0,6.0,921.74,0.0,921.76,269.43,7834
2023/05/12 09:13:32.273,MyProducer,None,input,10,-1,-1,0.0,6.0,921.74,0.0,921.76,257.01,7835
2023/05/12 09:13:32.389,MyProducer,None,input,11,-1,-1,0.0,6.02,921.74,0.0,921.76,275.37,7836
2023/05/12 09:13:32.525,MyProducer,None,input,12,-1,-1,0.0,4.99,921.74,0.0,921.76,294.15,7837
2023/05/12 09:13:32.624,MyProducer,None,input,13,-1,-1,0.0,7.01,921.74,0.0,921.76,290.53,7838
2023/05/12 09:13:32.730,MyProducer,None,input,14,-1,-1,0.0,5.99,921.74,0.0,921.76,295.5,7839
2023/05/12 09:13:32.826,MyProducer,None,input,15,-1,-1,0.0,6.55,921.74,0.0,921.76,257.23,7840
2023/05/12 09:13:32.957,MyProducer,None,input,16,-1,-1,0.0,5.52,921.74,0.0,921.76,288.41,7841
2023/05/12 09:13:33.019,MyProducer,None,input,17,-1,-1,0.0,7.0,921.74,0.0,921.76,229.26,7842
2023/05/12 09:13:33.082,MyProducer,None,input,18,-1,-1,0.0,5.55,921.74,0.0,921.76,211.95,7843
2023/05/12 09:13:33.181,MyProducer,None,input,19,-1,-1,0.0,4.0,921.74,0.0,921.76,200.35,7844
2023/05/12 09:13:33.319,MyProducer,None,input,20,-1,-1,0.0,5.0,921.74,0.0,921.76,270.34,7845
2023/05/12 09:13:33.390,MyProducer,None,input,21,-1,-1,0.0,4.0,921.74,0.0,921.76,268.59,7846
2023/05/12 09:13:33.468,MyProducer,None,input,22,-1,-1,0.0,6.18,921.74,0.0,921.76,246.1,7847
