asctime,name,topic from,topic to,frame,offset received,frame delay,msg creation delay,consume time,size data received,process time,size data sent,send time,offset sent
2023/05/19 12:47:41.705,FrameProducer,None,input,1,-1,-1,4831.37,4678.2,921.74,0.0,921.76,782.77,7662
2023/05/19 12:47:41.761,FrameProducer,None,input,2,-1,-1,113.0,95.14,921.74,0.0,921.76,665.09,7982
2023/05/19 12:47:41.793,FrameProducer,None,input,3,-1,-1,47.84,92.6,921.74,0.0,921.76,586.66,7663
2023/05/19 12:47:41.809,FrameProducer,None,input,5,-1,-1,0.0,7.98,921.74,0.0,921.76,71.45,7983
2023/05/19 12:47:41.856,FrameProducer,None,input,4,-1,-1,189.67,110.35,921.74,0.0,921.76,380.75,7664
2023/05/19 12:47:41.903,FrameProducer,None,input,6,-1,-1,15.63,15.63,921.74,0.0,921.76,166.56,7984
2023/05/19 12:47:41.951,FrameProducer,None,input,7,-1,-1,0.0,0.0,921.74,0.0,921.76,171.72,7665
2023/05/19 12:47:42.031,FrameProducer,None,input,10,-1,-1,0.0,0.0,921.74,0.0,921.76,49.31,7985
2023/05/19 12:47:42.046,FrameProducer,None,input,8,-1,-1,0.0,13.63,921.74,0.0,921.76,237.48,7666
2023/05/19 12:47:42.072,FrameProducer,None,input,11,-1,-1,0.0,17.65,921.74,0.0,921.76,87.27,7986
2023/05/19 12:47:42.087,FrameProducer,None,input,9,-1,-1,0.0,0.0,921.74,0.0,921.76,196.35,7667
2023/05/19 12:47:42.134,FrameProducer,None,input,12,-1,-1,16.37,14.51,921.74,0.0,921.76,117.67,7987
2023/05/19 12:47:42.181,FrameProducer,None,input,13,-1,-1,0.0,6.93,921.74,0.0,921.76,126.3,7668
2023/05/19 12:47:42.213,FrameProducer,None,input,15,-1,-1,0.0,16.04,921.74,0.0,921.76,94.46,7988
2023/05/19 12:47:42.246,FrameProducer,None,input,14,-1,-1,0.0,0.0,921.74,0.0,921.76,173.96,7669
2023/05/19 12:47:42.293,FrameProducer,None,input,17,-1,-1,0.0,0.0,921.74,0.0,921.76,95.86,7989
2023/05/19 12:47:42.325,FrameProducer,None,input,16,-1,-1,0.0,13.07,921.74,0.0,921.76,190.47,7670
2023/05/19 12:47:42.372,FrameProducer,None,input,19,-1,-1,0.0,0.0,921.74,0.0,921.76,143.4,7671
2023/05/19 12:47:42.388,FrameProducer,None,input,18,-1,-1,15.9,15.63,921.74,0.0,921.76,175.27,7990
2023/05/19 12:47:42.436,FrameProducer,None,input,22,-1,-1,0.0,0.0,921.74,0.0,921.76,32.35,7672
2023/05/19 12:47:42.484,FrameProducer,None,input,20,-1,-1,0.0,15.21,921.74,16.08,921.76,206.69,7991
2023/05/19 12:47:42.546,FrameProducer,None,input,21,-1,-1,0.0,16.23,921.74,0.0,921.76,221.47,7992
2023/05/19 12:47:42.626,FrameProducer,None,input,24,-1,-1,0.0,0.0,921.74,0.0,921.76,127.12,7673
2023/05/19 12:47:42.663,FrameProducer,None,input,23,-1,-1,15.72,15.78,921.74,0.0,921.76,243.32,7993
2023/05/19 12:47:42.752,FrameProducer,None,input,25,-1,-1,15.65,15.65,921.74,0.0,921.76,237.03,7674
2023/05/19 12:47:42.784,FrameProducer,None,input,26,-1,-1,18.24,15.62,921.74,0.0,921.76,250.77,7994
2023/05/19 12:47:42.831,FrameProducer,None,input,27,-1,-1,0.0,16.86,921.74,0.0,921.76,245.21,7995
2023/05/19 12:47:42.847,FrameProducer,None,input,28,-1,-1,0.0,17.61,921.74,0.0,921.76,141.92,7675
2023/05/19 12:47:42.878,FrameProducer,None,input,29,-1,-1,15.64,15.64,921.74,0.0,921.76,141.26,7676
2023/05/19 12:47:43.005,FrameProducer,None,input,30,-1,-1,0.0,31.73,921.74,0.0,921.76,188.21,7677
2023/05/19 12:47:43.068,FrameProducer,None,input,31,-1,-1,0.0,15.64,921.74,0.0,921.76,205.21,7678
2023/05/19 12:47:43.166,FrameProducer,None,input,32,-1,-1,0.0,0.0,921.74,0.0,921.76,240.45,7679
2023/05/19 12:47:43.178,FrameProducer,None,input,34,-1,-1,0.0,0.0,921.74,0.0,921.76,78.2,7996
2023/05/19 12:47:43.264,FrameProducer,None,input,33,-1,-1,0.0,15.2,921.74,0.0,921.76,221.36,7680
2023/05/19 12:47:43.280,FrameProducer,None,input,36,-1,-1,0.0,16.87,921.74,0.0,921.76,56.77,7997
2023/05/19 12:47:43.345,FrameProducer,None,input,35,-1,-1,15.03,16.32,921.74,0.0,921.76,230.41,7681
2023/05/19 12:47:43.379,FrameProducer,None,input,37,-1,-1,11.13,21.78,921.74,0.0,921.76,151.48,7998
2023/05/19 12:47:43.433,FrameProducer,None,input,39,-1,-1,0.0,10.26,921.74,0.0,921.76,135.43,7682
2023/05/19 12:47:43.452,FrameProducer,None,input,38,-1,-1,11.83,18.04,921.74,0.0,921.76,194.45,7999
2023/05/19 12:47:43.497,FrameProducer,None,input,41,-1,-1,0.0,0.0,921.74,0.0,921.76,126.96,8000
2023/05/19 12:47:43.513,FrameProducer,None,input,40,-1,-1,9.33,9.01,921.74,0.0,921.76,205.99,7683
2023/05/19 12:47:43.549,FrameProducer,None,input,42,-1,-1,0.0,11.59,921.74,0.0,921.76,156.18,8001
2023/05/19 12:47:43.571,FrameProducer,None,input,44,-1,-1,0.0,0.0,921.74,0.0,921.76,42.18,7684
2023/05/19 12:47:43.597,FrameProducer,None,input,43,-1,-1,0.0,3.02,921.74,0.0,921.76,115.48,8002
2023/05/19 12:47:43.649,FrameProducer,None,input,46,-1,-1,0.0,9.51,921.74,0.0,921.76,68.56,7685
2023/05/19 12:47:43.678,FrameProducer,None,input,45,-1,-1,9.53,10.94,921.74,0.0,921.76,133.41,8003
2023/05/19 12:47:43.736,FrameProducer,None,input,47,-1,-1,17.36,10.02,921.74,0.0,921.76,123.16,8004
2023/05/19 12:47:43.815,FrameProducer,None,input,48,-1,-1,0.0,0.0,921.74,0.0,921.76,188.69,8005
2023/05/19 12:47:43.880,FrameProducer,None,input,50,-1,-1,0.0,15.64,921.74,0.0,921.76,110.68,7686
2023/05/19 12:47:43.894,FrameProducer,None,input,49,-1,-1,0.0,0.67,921.74,0.0,921.76,189.29,8006
2023/05/19 12:47:43.988,FrameProducer,None,input,51,-1,-1,14.52,17.13,921.74,0.0,921.76,204.5,8007
2023/05/19 12:47:44.036,FrameProducer,None,input,53,-1,-1,0.0,0.0,921.74,0.0,921.76,78.38,7687
2023/05/19 12:47:44.068,FrameProducer,None,input,52,-1,-1,0.0,16.02,921.74,0.0,921.76,205.12,8008
2023/05/19 12:47:44.131,FrameProducer,None,input,54,-1,-1,14.02,32.91,921.74,0.0,921.76,174.8,8009
2023/05/19 12:47:44.241,FrameProducer,None,input,55,-1,-1,0.0,0.0,921.74,0.0,921.76,220.55,8010
